stdg_Cd,bjd_Nm,soil_Crop_Cd,soil_Crop_Nm,high_Suit_Area,suit_Area,poss_Area,low_Suit_Area,etc_Area
1100000000,서울특별시,CR005,사과,12092,5537,14662,23708,4568
1111000000,서울특별시 종로구,CR005,사과,640,74,211,1452,22
1111010100,서울특별시 종로구 청운동,CR005,사과,2,4,10,63,0
1111010200,서울특별시 종로구 신교동,CR005,사과,2,3,3,2,0
1111010300,서울특별시 종로구 궁정동,CR005,사과,4,0,0,3,0
1111010400,서울특별시 종로구 효자동,CR005,사과,5,0,0,1,0
1111010500,서울특별시 종로구 창성동,CR005,사과,6,0,0,0,0
1111010600,서울특별시 종로구 통의동,CR005,사과,6,0,0,0,0
1111010700,서울특별시 종로구 적선동,CR005,사과,4,0,0,0,0
1111010800,서울특별시 종로구 통인동,CR005,사과,2,0,0,3,0
1111010900,서울특별시 종로구 누상동,CR005,사과,3,1,3,20,0
1111011000,서울특별시 종로구 누하동,CR005,사과,0,1,1,4,0
1111011100,서울특별시 종로구 옥인동,CR005,사과,1,2,9,30,0
1111011200,서울특별시 종로구 체부동,CR005,사과,2,0,0,2,0
1111011300,서울특별시 종로구 필운동,CR005,사과,0,2,1,5,0
1111011400,서울특별시 종로구 내자동,CR005,사과,5,0,0,0,0
1111011500,서울특별시 종로구 사직동,CR005,사과,5,2,3,19,0
1111011600,서울특별시 종로구 도렴동,CR005,사과,3,0,0,0,0
1111011700,서울특별시 종로구 당주동,CR005,사과,4,0,0,0,0
1111011800,서울특별시 종로구 내수동,CR005,사과,5,2,0,0,0
1111011900,서울특별시 종로구 세종로,CR005,사과,67,0,5,16,0
1111012000,서울특별시 종로구 신문로1가,CR005,사과,7,0,0,0,0
1111012100,서울특별시 종로구 신문로2가,CR005,사과,3,5,13,5,0
1111012200,서울특별시 종로구 청진동,CR005,사과,6,0,0,0,0
1111012300,서울특별시 종로구 서린동,CR005,사과,5,0,0,0,0
1111012400,서울특별시 종로구 수송동,CR005,사과,10,0,0,0,0
1111012500,서울특별시 종로구 중학동,CR005,사과,3,0,0,0,0
