bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
경상남도 사천시 곤명면 용산리,4824036022,9,7,3,1,1,0
경상남도 사천시 곤명면 조장리,4824036023,29,18,7,2,1,1
경상남도 사천시 곤명면 봉계리,4824036024,17,14,10,6,3,5
경상남도 사천시 곤명면 삼정리,4824036026,3,18,8,8,6,12
경상남도 사천시 곤명면 마곡리,4824036028,25,14,10,3,4,11
경상남도 사천시 곤명면 성방리,4824036029,18,11,9,7,2,6
경상남도 김해시 안동,4825012000,-,-,-,-,-,-
경상남도 김해시 서상동,4825010200,-,-,-,-,-,-
경상남도 김해시 부원동,4825010300,2,15,9,5,4,10
충청남도 예산군 예산읍 관작리,4481025028,0,3,3,2,3,5
충청남도 예산군 예산읍 창소리,4481025029,0,1,4,3,1,4
충청남도 예산군 예산읍 신례원리,4481025030,2,8,4,6,2,10
충청남도 예산군 예산읍 궁평리,4481025032,4,30,14,9,8,9
경상북도 의성군 안평면 창길리,4773046034,-,-,-,-,-,-
경상북도 의성군 안평면 괴산리,4773046035,-,-,-,-,-,-
경상북도 영천시 금호읍 원기리,4723025037,0,0,1,0,0,0
경상북도 영천시 금호읍 신대리,4723025038,-,-,-,-,-,-
경상북도 영천시 금호읍 남성리,4723025039,-,-,-,-,-,-
경상북도 영천시 금호읍 황정리,4723025041,0,1,2,0,0,0
경상북도 영천시 청통면 호당리,4723031021,0,0,1,0,0,0
경상북도 영천시 청통면 우천리,4723031022,0,0,1,0,0,0
경상북도 영천시 청통면 신덕리,4723031024,-,-,-,-,-,-
경상북도 영천시 금호읍 관정리,4723025030,0,1,2,0,0,0
경상북도 영천시 금호읍 구암리,4723025031,0,1,4,1,0,0
경상북도 영천시 금호읍 대곡리,4723025033,-,-,-,-,-,-
경상북도 영천시 금호읍 호남리,4723025034,-,-,-,-,-,-
경상북도 영천시 화산면 유성리,4723033033,0,2,15,1,0,1
경상남도 김해시 상동면,4825036000,15,42,30,10,3,7
경상남도 김해시 한림면 용덕리,4825034025,0,7,13,8,4,3
경상남도 김해시 한림면 안곡리,4825034026,0,35,8,2,1,1
경상남도 김해시 한림면 장방리,4825034028,6,92,86,42,24,25
경상남도 김해시 한림면 시산리,4825034029,9,65,67,31,20,31
경상남도 김해시 주촌면,4825032000,9,44,32,13,8,19
경상남도 김해시 주촌면 원지리,4825032022,2,9,5,3,2,2
경상남도 김해시 주촌면 덕암리,4825032023,0,3,2,1,0,1
충청남도 논산시 광석면 율리,4423032032,19,50,52,41,39,38
충청남도 논산시 광석면 오강리,4423032033,7,20,19,7,13,12
충청남도 논산시 노성면 읍내리,4423033021,4,12,2,6,2,10
충청남도 논산시 노성면 두사리,4423033022,1,1,1,1,0,3
충청남도 논산시 노성면 송당리,4423033023,2,1,0,7,10,5
충청남도 논산시 노성면 하도리,4423033025,8,21,21,18,8,17
경상북도 영주시 부석면 보계리,4721039030,10,20,14,4,0,0
경상북도 영천시 금호읍 오계리,4723025036,0,0,1,0,0,0
