bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
경상남도 사천시 곤명면 용산리,8,0,5,27,33,356,4824036022
경상남도 사천시 곤명면 조장리,11,0,48,46,12,172,4824036023
경상남도 사천시 곤명면 봉계리,14,1,42,75,55,247,4824036024
경상남도 사천시 곤명면 삼정리,2,0,9,115,61,184,4824036026
경상남도 사천시 곤명면 마곡리,6,0,5,56,107,455,4824036028
경상남도 사천시 곤명면 성방리,10,1,5,112,67,576,4824036029
경상남도 김해시 안동,9,0,26,19,100,74,4825012000
경상남도 김해시 서상동,0,0,26,2,0,0,4825010200
경상남도 김해시 부원동,10,0,7,65,37,80,4825010300
경상남도 김해시 대성동,2,0,11,25,11,8,4825010500
충청남도 예산군 예산읍 관작리,8,0,69,88,53,209,4481025028
충청남도 예산군 예산읍 창소리,7,1,172,51,7,4,4481025029
충청남도 예산군 예산읍 신례원리,0,6,124,59,48,120,4481025030
충청남도 예산군 예산읍 궁평리,7,3,57,90,32,5,4481025032
경상북도 의성군 안평면 창길리,12,5,42,93,142,647,4773046034
경상북도 의성군 안평면 괴산리,8,10,34,50,74,429,4773046035
경상북도 영천시 금호읍 원기리,4,8,39,28,13,0,4723025037
경상북도 영천시 금호읍 신대리,37,80,99,1,21,7,4723025038
경상북도 영천시 금호읍 남성리,15,15,2,82,51,192,4723025039
경상북도 영천시 금호읍 황정리,45,65,71,16,22,21,4723025041
경상북도 영천시 청통면 호당리,22,9,86,66,26,163,4723031021
경상북도 영천시 청통면 우천리,13,5,18,130,57,251,4723031022
경상북도 영천시 청통면 신덕리,8,0,19,97,28,344,4723031024
경상북도 영천시 금호읍 관정리,20,10,106,4,1,0,4723025030
경상북도 영천시 금호읍 구암리,38,0,20,137,38,253,4723025031
경상북도 영천시 금호읍 대곡리,8,0,18,63,33,164,4723025033
경상북도 영천시 금호읍 호남리,42,0,14,101,30,106,4723025034
