allvplain_Tpgraphy_Area,alpine_Tpgraphy_Area,bjd_Nm,diluvial_Tpgraphy_Area,etc_Area,hilly_Tpgraphy_Area,lavaplain_Tpgraphy_Area,lavaplate_Tpgraphy_Area,marnplain_Tpgraphy_Area,mount_Tpgraphy_Area,piedmont_Tpgraphy_Area,stdg_Cd,valley_Tpgraphy_Area
0,0,경상남도 사천시 곤명면 용산리,0,8,10,0,0,0,333,29,4824036022,50
68,0,경상남도 사천시 곤명면 조장리,0,11,3,0,0,0,172,0,4824036023,34
58,0,경상남도 사천시 곤명면 봉계리,0,14,17,0,0,0,254,7,4824036024,86
0,0,경상남도 사천시 곤명면 삼정리,0,2,29,0,0,0,197,41,4824036026,101
7,0,경상남도 사천시 곤명면 마곡리,0,6,26,0,0,0,445,37,4824036028,109
51,0,경상남도 사천시 곤명면 성방리,0,10,16,0,0,0,589,1,4824036029,102
26,0,경상남도 김해시 안동,0,9,1,0,0,69,60,33,4825012000,30
0,0,경상남도 김해시 서상동,0,0,0,0,0,0,0,2,4825010200,26
7,0,경상남도 김해시 부원동,0,10,10,0,0,148,7,3,4825010300,13
3,0,경상남도 김해시 대성동,0,2,3,0,0,0,8,17,4825010500,23
20,0,충청남도 예산군 예산읍 관작리,63,8,20,0,0,0,214,17,4481025028,86
73,0,충청남도 예산군 예산읍 창소리,34,7,5,0,0,29,0,5,4481025029,87
0,6,충청남도 예산군 예산읍 신례원리,37,0,14,0,0,0,142,14,4481025030,143
44,0,충청남도 예산군 예산읍 궁평리,23,7,0,0,0,97,0,1,4481025032,23
33,0,경상북도 의성군 안평면 창길리,0,12,113,0,0,0,575,68,4773046034,139
29,0,경상북도 의성군 안평면 괴산리,0,8,12,0,0,0,416,63,4773046035,77
12,0,경상북도 영천시 금호읍 원기리,56,4,12,0,0,0,0,2,4723025037,4
136,0,경상북도 영천시 금호읍 신대리,64,37,7,0,0,0,0,0,4723025038,1
17,0,경상북도 영천시 금호읍 남성리,0,15,228,0,0,0,13,5,4723025039,79
113,0,경상북도 영천시 금호읍 황정리,38,45,10,0,0,0,21,4,4723025041,10
42,0,경상북도 영천시 청통면 호당리,71,22,34,0,0,0,145,8,4723031021,49
6,0,경상북도 영천시 청통면 우천리,0,13,118,0,0,0,189,0,4723031022,150
0,0,경상북도 영천시 청통면 신덕리,0,8,47,0,0,0,317,8,4723031024,114
58,0,경상북도 영천시 금호읍 관정리,63,20,0,0,0,0,0,0,4723025030,0
50,0,경상북도 영천시 금호읍 구암리,12,38,80,0,0,0,192,6,4723025031,108
0,0,경상북도 영천시 금호읍 대곡리,24,8,48,0,0,0,132,11,4723025033,64
0,0,경상북도 영천시 금호읍 호남리,22,42,75,0,0,0,65,0,4723025034,90
24,0,경상북도 영천시 화산면 유성리,87,17,82,0,0,0,81,11,4723033033,88
414,0,경상남도 김해시 상동면,0,379,74,0,0,0,4466,1178,4825036000,363
7,0,경상남도 김해시 한림면 용덕리,0,6,2,0,0,0,185,65,4825034025,67
0,0,경상남도 김해시 한림면 안곡리,0,5,0,0,0,0,381,96,4825034026,36
298,0,경상남도 김해시 한림면 장방리,0,81,36,0,0,0,196,33,4825034028,72
460,0,경상남도 김해시 한림면 시산리,0,267,0,0,0,0,15,1,4825034029,7
