allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
30,0,경상남도 사천시 곤명면 용산리,50,0,8,343,4824036022
34,68,경상남도 사천시 곤명면 조장리,1,0,11,175,4824036023
87,58,경상남도 사천시 곤명면 봉계리,6,0,14,271,4824036024
107,0,경상남도 사천시 곤명면 삼정리,35,0,2,226,4824036026
117,7,경상남도 사천시 곤명면 마곡리,28,0,6,470,4824036028
102,51,경상남도 사천시 곤명면 성방리,2,0,10,606,4824036029
34,95,경상남도 김해시 안동,29,0,9,62,4825012000
26,0,경상남도 김해시 서상동,2,0,0,0,4825010200
13,156,경상남도 김해시 부원동,3,0,10,17,4825010300
25,3,경상남도 김해시 대성동,15,0,2,11,4825010500
76,29,충청남도 예산군 예산읍 관작리,17,65,8,232,4481025028
85,105,충청남도 예산군 예산읍 창소리,5,34,7,5,4481025029
140,9,충청남도 예산군 예산읍 신례원리,14,37,0,157,4481025030
23,141,충청남도 예산군 예산읍 궁평리,1,23,7,0,4481025032
117,35,경상북도 의성군 안평면 창길리,88,0,12,689,4773046034
66,29,경상북도 의성군 안평면 괴산리,74,0,8,428,4773046035
4,12,경상북도 영천시 금호읍 원기리,2,56,4,12,4723025037
1,136,경상북도 영천시 금호읍 신대리,0,64,37,7,4723025038
79,17,경상북도 영천시 금호읍 남성리,5,0,15,241,4723025039
10,113,경상북도 영천시 금호읍 황정리,4,38,45,31,4723025041
49,43,경상북도 영천시 청통면 호당리,8,71,22,178,4723031021
150,6,경상북도 영천시 청통면 우천리,0,0,13,307,4723031022
114,0,경상북도 영천시 청통면 신덕리,8,0,8,365,4723031024
0,58,경상북도 영천시 금호읍 관정리,0,63,20,0,4723025030
108,50,경상북도 영천시 금호읍 구암리,6,12,38,272,4723025031
71,0,경상북도 영천시 금호읍 대곡리,4,24,8,179,4723025033
90,0,경상북도 영천시 금호읍 호남리,0,22,42,140,4723025034
88,24,경상북도 영천시 화산면 유성리,11,87,17,163,4723033033
309,571,경상남도 김해시 상동면,1075,0,379,4539,4825036000
85,16,경상남도 김해시 한림면 용덕리,38,0,6,187,4825034025
44,22,경상남도 김해시 한림면 안곡리,66,0,5,381,4825034026
70,303,경상남도 김해시 한림면 장방리,29,0,81,232,4825034028
7,460,경상남도 김해시 한림면 시산리,1,0,267,15,4825034029
360,432,경상남도 김해시 주촌면,475,57,85,1716,4825032000
66,61,경상남도 김해시 주촌면 원지리,77,0,11,387,4825032022
33,21,경상남도 김해시 주촌면 덕암리,99,0,7,338,4825032023
87,51,충청남도 논산시 광석면 율리,0,37,0,73,4423032032
58,71,충청남도 논산시 광석면 오강리,1,9,0,33,4423032033
153,8,충청남도 논산시 노성면 읍내리,5,0,1,157,4423033021
61,0,충청남도 논산시 노성면 두사리,0,0,0,59,4423033022
138,4,충청남도 논산시 노성면 송당리,8,0,5,169,4423033023
84,116,충청남도 논산시 노성면 하도리,0,1,12,104,4423033025
323,1,경상북도 영주시 부석면 보계리,4,0,0,448,4721039030
31,15,경상북도 영천시 금호읍 오계리,0,88,11,80,4723025036
993,125,경상남도 합천군 대양면,116,5,177,4283,4889041000
