bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
경상남도 사천시 곤명면 용산리,8,6,159,35,196,26,4824036022
경상남도 사천시 곤명면 조장리,11,11,140,9,32,87,4824036023
경상남도 사천시 곤명면 봉계리,14,28,108,38,143,105,4824036024
경상남도 사천시 곤명면 삼정리,2,42,31,56,156,83,4824036026
경상남도 사천시 곤명면 마곡리,6,25,273,47,190,89,4824036028
경상남도 사천시 곤명면 성방리,10,29,248,28,340,116,4824036029
경상남도 김해시 안동,9,52,34,20,23,92,4825012000
경상남도 김해시 서상동,0,28,0,0,0,0,4825010200
경상남도 김해시 부원동,10,17,4,4,3,161,4825010300
경상남도 김해시 대성동,2,25,2,5,8,14,4825010500
충청남도 예산군 예산읍 관작리,8,97,168,26,43,84,4481025028
충청남도 예산군 예산읍 창소리,7,97,0,0,0,137,4481025029
충청남도 예산군 예산읍 신례원리,0,113,67,41,53,84,4481025030
충청남도 예산군 예산읍 궁평리,7,6,0,0,0,182,4481025032
경상북도 의성군 안평면 창길리,12,72,536,120,110,92,4773046034
경상북도 의성군 안평면 괴산리,8,62,127,60,302,46,4773046035
경상북도 영천시 금호읍 원기리,4,15,0,11,0,62,4723025037
경상북도 영천시 금호읍 신대리,37,128,0,0,7,73,4723025038
경상북도 영천시 금호읍 남성리,15,65,8,33,184,52,4723025039
경상북도 영천시 금호읍 황정리,45,91,2,10,19,73,4723025041
경상북도 영천시 청통면 호당리,22,89,55,20,108,77,4723031021
경상북도 영천시 청통면 우천리,13,80,3,49,248,83,4723031022
경상북도 영천시 청통면 신덕리,8,61,69,19,275,63,4723031024
경상북도 영천시 금호읍 관정리,20,20,0,0,0,101,4723025030
경상북도 영천시 금호읍 구암리,38,51,20,23,233,120,4723025031
경상북도 영천시 금호읍 대곡리,8,31,52,24,112,59,4723025033
경상북도 영천시 금호읍 호남리,42,45,0,24,106,78,4723025034
경상북도 영천시 화산면 유성리,17,126,10,6,129,102,4723033033
경상남도 김해시 상동면,379,374,3358,477,1638,646,4825036000
경상남도 김해시 한림면 용덕리,6,27,12,87,109,92,4825034025
경상남도 김해시 한림면 안곡리,5,22,289,36,100,66,4825034026
경상남도 김해시 한림면 장방리,81,112,48,63,101,311,4825034028
경상남도 김해시 한림면 시산리,267,114,0,0,5,364,4825034029
경상남도 김해시 주촌면,85,209,804,306,850,872,4825032000
경상남도 김해시 주촌면 원지리,11,52,190,48,179,122,4825032022
경상남도 김해시 주촌면 덕암리,7,10,181,78,135,88,4825032023
충청남도 논산시 광석면 율리,0,99,0,2,19,129,4423032032
충청남도 논산시 광석면 오강리,0,66,0,0,0,106,4423032033
충청남도 논산시 노성면 읍내리,1,205,2,18,22,76,4423033021
충청남도 논산시 노성면 두사리,0,85,0,6,0,28,4423033022
충청남도 논산시 노성면 송당리,5,141,45,12,40,81,4423033023
충청남도 논산시 노성면 하도리,12,84,0,63,10,148,4423033025
경상북도 영주시 부석면 보계리,0,145,63,39,371,159,4721039030
경상북도 영천시 금호읍 오계리,11,51,2,39,31,92,4723025036
경상남도 합천군 대양면,177,368,2733,481,1239,701,4889041000
경상남도 합천군 대양면 정양리,91,21,182,21,66,19,4889041021
경상남도 합천군 대양면 아천리,33,25,216,38,72,30,4889041022
경상남도 합천군 대양면 무곡리,13,49,364,59,149,106,4889041024
경상남도 합천군 대양면 덕정리,9,34,73,48,146,87,4889041025
경상남도 김해시 진례면 신안리,24,20,375,47,223,111,4825033025
경상남도 김해시 진례면 산본리,13,40,152,37,194,129,4825033026
경상남도 김해시 진례면 신월리,4,13,62,14,39,107,4825033027
경상남도 김해시 진례면 담안리,13,80,52,39,56,193,4825033029
경상남도 김해시 한림면,527,567,1026,667,1259,1879,4825034000
경상남도 김해시 한림면 명동리,11,44,41,75,162,114,4825034021
경상남도 김해시 한림면 병동리,11,36,100,62,179,145,4825034023
충청남도 보령시 미산면 늑전리,16,34,63,50,228,36,4418039025
충청남도 보령시 미산면 도흥리,0,34,129,59,650,46,4418039026
충청남도 보령시 미산면 봉성리,6,25,133,27,130,52,4418039027
충청남도 보령시 미산면 은현리,0,16,24,50,123,49,4418039029
충청남도 보령시 미산면 내평리,4,25,124,18,123,48,4418039030
충청남도 논산시 노성면 죽림리,0,85,7,18,13,151,4423033026
충청남도 논산시 광석면 갈산리,0,89,0,15,0,259,4423032024
충청남도 논산시 광석면 광리,0,20,0,0,0,115,4423032025
충청남도 논산시 광석면 산동리,0,10,0,0,0,234,4423032027
충청남도 논산시 광석면 왕전리,3,83,0,13,21,156,4423032029
충청남도 논산시 광석면 항월리,7,112,0,51,16,105,4423032030
경상북도 안동시 일직면 조탑리,33,88,213,29,305,40,4717035030
경상북도 안동시 풍천면 금계리,8,73,386,35,202,46,4717034027
경상북도 안동시 풍천면 구호리,12,17,225,48,152,53,4717034028
경상북도 안동시 풍천면 어담리,8,160,518,95,752,92,4717034029
경상북도 안동시 풍천면 가곡리,21,103,12,68,38,181,4717034031
경상북도 안동시 풍천면 하회리,95,110,120,22,64,161,4717034033
경상북도 안동시 일직면,341,1327,3130,348,2735,689,4717035000
경상북도 안동시 일직면 귀미리,64,157,297,13,244,50,4717035021
경상북도 안동시 일직면 망호리,14,138,0,5,196,57,4717035023
경상북도 영천시 조교동,36,64,0,0,0,131,4723010100
경상북도 영천시 야사동,5,93,0,10,100,32,4723010300
경상북도 영천시 문외동,0,36,0,2,25,0,4723010500
경상북도 영주시 안정면 대평리,7,22,18,19,30,62,4721035032
경상북도 영주시 안정면 오계리,7,67,33,170,92,183,4721035033
경상북도 영덕군 남정면 사암리,3,18,756,29,130,41,4777032042
전라남도 영광군 법성면 입암리,22,57,122,2,96,61,4687037026
전라남도 영광군 법성면 월산리,10,136,2,45,24,123,4687037028
전라남도 보성군 겸백면 용산리,32,85,2,78,163,81,4678033026
전라남도 장성군 북하면 동현리,101,19,131,0,82,3,4688040030
전라남도 장성군 장성읍 용곡리,147,31,358,0,67,0,4688025036
울산광역시 울주군 온양읍,124,512,1702,615,2403,1094,3171025600
울산광역시 울주군 온양읍 발리,8,90,12,103,333,137,3171025621
울산광역시 울주군 온양읍 망양리,18,67,27,19,237,87,3171025623
울산광역시 울주군 온양읍 남창리,16,22,15,12,28,35,3171025624
경상북도 포항시남구 대송면 송동리,8,53,0,22,82,64,4711131026
경상북도 포항시남구 대송면 제내리,19,20,0,0,0,57,4711131027
경상북도 포항시남구 대송면 옥명리,0,5,4,2,176,56,4711131028
경상북도 포항시남구 동해면,34,579,1952,461,729,631,4711132000
경상북도 포항시남구 동해면 약전리,0,39,10,11,20,36,4711132022
충청북도 음성군 맹동면 통동리,44,104,539,0,54,9,4377033029
충청북도 음성군 대소면,92,1657,0,463,76,1527,4377034000
충청북도 음성군 맹동면 본성리,1,42,0,22,0,51,4377033027
경기도 광주시 도척면,99,704,1645,266,1784,717,4161033000
경기도 광주시 도척면 유정리,17,67,171,4,110,137,4161033022
경기도 화성시 봉담읍 유리,27,17,74,19,2,40,4159025332
경기도 화성시 봉담읍,124,991,618,645,864,1038,4159025300
경기도 화성시 봉담읍 내리,3,93,53,118,146,134,4159025322
경기도 화성시 봉담읍 수영리,2,176,0,23,6,95,4159025323
경기도 화성시 봉담읍 와우리,0,50,26,24,8,48,4159025325
경기도 화성시 봉담읍 수기리,5,42,7,19,15,37,4159025326
경기도 화성시 봉담읍 왕림리,0,67,57,46,28,74,4159025328
경기도 화성시 봉담읍 세곡리,2,14,75,2,32,16,4159025329
전라남도 신안군 자은면 유천리,24,196,99,1,176,85,4691033024
전라남도 신안군 자은면 유각리,43,235,20,4,198,176,4691033025
전라남도 신안군 자은면 면전리,10,80,0,10,96,60,4691033026
전라남도 신안군 자은면 고장리,29,255,62,41,188,177,4691033028
전라남도 신안군 자은면 구영리,8,151,46,9,123,95,4691033029
전라남도 신안군 비금면 광대리,22,133,77,0,177,38,4691034021
전라남도 신안군 비금면 용소리,6,71,0,0,0,120,4691034022
전라남도 신안군 비금면 가산리,36,41,0,14,114,218,4691034024
전라남도 신안군 비금면 덕산리,39,52,45,20,105,151,4691034025
전라남도 신안군 비금면 구림리,43,114,0,19,43,184,4691034027
전라남도 신안군 비금면 신원리,15,103,5,5,47,80,4691034028
부산광역시 강서구 죽림동,35,10,0,7,1,148,2644010500
부산광역시 강서구 식만동,34,6,0,0,0,215,2644010600
부산광역시 강서구 죽동동,35,8,0,2,2,404,2644010700
부산광역시 강서구 봉림동,261,7,0,3,4,718,2644010800
부산광역시 강서구 화전동,110,20,17,3,59,148,2644011000
경기도 화성시 팔탄면 덕우리,0,39,26,22,104,57,4159036030
경기도 화성시 서신면 제부리,24,37,2,0,44,39,4159035026
경기도 화성시 서신면 홍법리,0,54,50,65,43,77,4159035027
경기도 화성시 서신면 매화리,22,101,22,38,11,173,4159035029
경기도 화성시 서신면 용두리,4,86,51,121,26,172,4159035030
경기도 화성시 서신면 백미리,12,58,35,109,39,116,4159035032
경기도 화성시 팔탄면,220,840,839,641,927,1625,4159036000
경기도 화성시 팔탄면 창곡리,0,39,59,45,83,103,4159036022
경기도 화성시 팔탄면 기천리,46,40,150,39,101,109,4159036023
경기도 화성시 팔탄면 구장리,8,70,113,40,107,164,4159036025
경기도 화성시 팔탄면 율암리,25,160,70,81,87,116,4159036026
경기도 화성시 팔탄면 덕천리,8,39,60,64,48,56,4159036028
전라남도 순천시 낙안면 평촌리,3,8,0,0,0,78,4615038029
전라남도 구례군 마산면 황전리,21,78,928,76,426,104,4673034024
전라남도 구례군 마산면 갑산리,3,25,0,30,0,197,4673034025
전라남도 구례군 광의면,88,398,1018,83,821,956,4673035000
전라남도 구례군 광의면 연파리,9,28,0,8,0,72,4673035021
전라남도 구례군 광의면 대산리,14,22,0,0,0,131,4673035023
전라남도 구례군 광의면 지천리,15,29,0,22,0,232,4673035024
전라남도 구례군 광의면 대전리,3,65,37,5,27,67,4673035026
전라남도 구례군 광의면 온당리,7,78,184,12,189,191,4673035027
전라남도 구례군 용방면,69,397,338,153,721,782,4673036000
전라남도 구례군 용방면 신지리,16,53,0,22,0,78,4673036022
경상남도 창녕군 영산면 신제리,60,75,5,38,126,138,4874038027
경상남도 창녕군 영산면 월령리,20,56,0,19,24,306,4874038028
경상남도 창녕군 장마면,159,403,311,148,1116,856,4874039000
경상남도 창녕군 장마면 강리,17,15,0,0,43,116,4874039021
경상북도 영천시 고경면 창상리,15,72,6,1,3,49,4723038023
경상북도 영천시 고경면 대의리,15,92,54,35,211,47,4723038024
경상북도 영천시 고경면 오류리,15,88,63,22,388,55,4723038026
경상북도 영천시 고경면 고도리,5,59,99,14,230,34,4723038027
경상북도 영천시 고경면 용전리,22,172,76,68,445,113,4723038029
경상북도 영천시 고경면 상리리,8,67,97,17,82,54,4723038031
경상북도 영천시 고경면 학리,3,75,240,40,120,48,4723038032
경상북도 영천시 북안면 원당리,2,43,89,18,119,21,4723039039
경상남도 사천시 정동면 수청리,12,20,76,21,55,40,4824031025
경상남도 사천시 사천읍 선인리,0,17,0,22,12,70,4824025021
경상남도 사천시 사천읍 정의리,0,9,0,11,0,24,4824025022
경상남도 사천시 사천읍 수석리,2,18,2,0,0,144,4824025024
경상남도 사천시 사천읍 사주리,9,11,11,14,0,86,4824025025
경상남도 사천시 사천읍 중선리,14,2,0,0,0,168,4824025027
경상남도 사천시 사천읍 구암리,7,120,102,102,228,123,4824025028
경상남도 사천시 사천읍 금곡리,5,12,117,21,131,28,4824025030
경상남도 사천시 사천읍 두량리,50,84,88,56,293,108,4824025031
경상남도 사천시 정동면 예수리,16,30,24,38,70,87,4824031022
경상남도 사천시 정동면 화암리,1,37,25,18,66,72,4824031023
경상남도 사천시 사천읍,107,324,442,312,845,945,4824025000
경상북도 영천시 청통면 신학리,8,33,23,1,25,86,4723031029
경상북도 영천시 청통면 애련리,10,70,138,25,181,83,4723031031
경상북도 영천시 청통면 계포리,9,49,1,15,34,45,4723031032
경상북도 영천시 청통면 신원리,18,54,701,19,230,72,4723031034
경상북도 영천시 신녕면,205,728,4111,282,1887,867,4723032000
경상북도 영천시 신녕면 치산리,33,61,1407,86,325,98,4723032021
경상북도 영천시 신녕면 화서리,6,77,314,29,165,54,4723032023
경상북도 영천시 신녕면 왕산리,41,98,572,18,195,61,4723032025
경상북도 영천시 임고면 우항리,30,78,11,19,31,142,4723037031
경상북도 영천시 자양면 용산리,106,41,770,21,137,11,4723036025
경상북도 영천시 자양면 성곡리,184,58,250,60,99,7,4723036028
경상남도 김해시 진영읍 하계리,3,38,90,49,91,51,4825025022
경상남도 김해시 진영읍 방동리,2,15,46,2,15,16,4825025023
전라남도 보성군 미력면,143,537,316,457,900,720,4678032000
전라남도 보성군 미력면 도개리,18,38,13,21,114,126,4678032021
전라남도 보성군 미력면 미력리,1,58,210,19,172,76,4678032022
전라남도 보성군 미력면 용정리,26,94,5,66,134,91,4678032024
전라남도 보성군 미력면 덕림리,30,72,0,84,44,91,4678032025
전라남도 보성군 미력면 초당리,3,59,4,70,107,88,4678032027
전라남도 보성군 겸백면,222,769,450,708,1865,745,4678033000
전라남도 보성군 겸백면 운림리,60,97,75,117,142,69,4678033022
전라남도 보성군 겸백면 은덕리,9,78,16,80,269,78,4678033023
경상북도 포항시남구 대송면,71,275,1513,167,748,490,4711131000
경상북도 포항시남구 대송면 공수리,1,8,0,3,26,41,4711131021
경상북도 포항시남구 대송면 홍계리,1,39,210,45,28,25,4711131023
경상북도 포항시남구 대송면 산여리,7,31,663,23,77,6,4711131024
경상북도 포항시북구 남빈동,0,3,0,0,0,3,4711310300
경상북도 포항시북구 상원동,0,3,0,0,0,3,4711310400
경상북도 포항시남구 오천읍 항사리,76,56,1534,46,180,21,4711125623
경상북도 포항시남구 장기면 대진리,7,22,35,11,41,31,4711133035
경상북도 포항시남구 장기면 학계리,4,17,65,26,29,40,4711133037
경상북도 포항시남구 장기면 학곡리,6,36,163,33,28,64,4711133038
경상북도 포항시남구 장기면 창지리,3,45,61,39,90,38,4711133040
전라남도 영광군 낙월면 하낙월리,0,5,48,3,0,0,4687038022
전라남도 영광군 낙월면 임병리,8,2,23,4,0,0,4687038023
전라남도 영광군 낙월면 월촌리,3,55,87,0,22,7,4687038025
전라남도 영광군 낙월면 신기리,5,46,97,0,53,5,4687038026
전라남도 영광군 낙월면 석만리,2,3,44,4,0,0,4687038028
경기도 광주시 쌍령동,13,62,104,10,116,28,4161010200
경기도 광주시 송정동,12,133,155,4,163,41,4161010300
경기도 광주시 회덕동,3,65,181,3,83,15,4161010400
경기도 광주시 목현동,1,77,558,0,209,42,4161010600
경기도 광주시 삼동,1,68,141,4,173,37,4161010700
경기도 광주시 직동,0,60,275,11,221,30,4161010900
경기도 광주시 태전동,16,132,65,21,193,60,4161011000
경기도 광주시 장지동,20,96,20,18,97,106,4161011100
경기도 광주시 목동,3,98,136,3,323,37,4161011300
경상북도 영주시 안정면 옹암리,0,30,0,74,42,54,4721035030
경상북도 영천시 녹전동,18,101,15,12,41,74,4723012100
경상북도 영천시 도림동,15,109,103,8,258,97,4723012200
경상북도 영주시 안정면 동촌리,7,74,13,51,88,80,4721035034
경상북도 영주시 장수면 소룡리,7,64,48,74,128,95,4721034026
경상북도 영주시 장수면 호문리,8,97,41,62,162,110,4721034027
