aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
0,0,11,0,0,경상남도 사천시 곤명면 용산리,8,0,0,0,0,0,0,4824036022,0,0,412,0,0
0,0,37,0,0,경상남도 사천시 곤명면 조장리,11,0,0,0,0,0,0,4824036023,0,0,242,0,0
0,0,68,0,0,경상남도 사천시 곤명면 봉계리,14,1,0,0,0,0,0,4824036024,5,0,349,0,0
0,0,5,0,0,경상남도 사천시 곤명면 삼정리,2,0,0,0,0,0,0,4824036026,55,0,139,0,170
0,0,80,0,0,경상남도 사천시 곤명면 마곡리,6,0,0,0,0,0,0,4824036028,16,0,523,0,5
0,0,112,0,0,경상남도 사천시 곤명면 성방리,10,0,0,0,1,0,0,4824036029,0,0,648,0,0
60,12,13,0,0,경상남도 김해시 안동,9,0,0,0,0,14,0,4825012000,2,0,105,0,13
0,0,0,0,0,경상남도 김해시 서상동,0,0,0,0,0,0,0,4825010200,0,0,28,0,0
32,0,129,0,0,경상남도 김해시 부원동,10,0,0,0,0,0,0,4825010300,0,0,15,0,14
0,0,12,0,0,경상남도 김해시 대성동,2,0,0,0,3,0,0,4825010500,2,0,25,0,12
0,0,48,0,0,충청남도 예산군 예산읍 관작리,8,0,0,0,174,0,0,4481025028,63,0,132,0,2
0,0,49,0,0,충청남도 예산군 예산읍 창소리,7,0,0,0,3,0,0,4481025029,73,0,104,0,5
0,0,37,0,0,충청남도 예산군 예산읍 신례원리,0,0,0,0,67,0,0,4481025030,61,0,193,0,0
38,0,88,0,0,충청남도 예산군 예산읍 궁평리,7,0,0,0,3,0,0,4481025032,24,0,34,0,0
0,0,42,0,0,경상북도 의성군 안평면 창길리,12,4,0,0,423,0,0,4773046034,12,0,447,0,0
0,0,16,0,0,경상북도 의성군 안평면 괴산리,8,10,0,0,15,0,0,4773046035,17,0,541,0,0
27,0,4,0,0,경상북도 영천시 금호읍 원기리,4,8,0,0,0,0,0,4723025037,31,0,16,0,0
46,0,6,0,0,경상북도 영천시 금호읍 신대리,37,20,0,0,99,0,0,4723025038,18,0,20,0,0
0,0,41,0,0,경상북도 영천시 금호읍 남성리,15,15,0,0,0,0,0,4723025039,6,0,281,0,0
22,0,31,0,0,경상북도 영천시 금호읍 황정리,45,36,0,0,37,0,0,4723025041,20,0,50,0,0
17,0,27,0,0,경상북도 영천시 청통면 호당리,22,6,0,0,4,0,0,4723031021,62,0,234,0,0
0,0,64,0,0,경상북도 영천시 청통면 우천리,13,5,0,0,0,0,0,4723031022,0,0,393,0,0
0,0,29,0,0,경상북도 영천시 청통면 신덕리,8,0,0,0,0,0,0,4723031024,8,0,450,0,0
30,0,35,0,0,경상북도 영천시 금호읍 관정리,20,5,0,0,6,0,0,4723025030,32,0,13,0,0
12,0,83,0,0,경상북도 영천시 금호읍 구암리,38,0,0,0,2,0,0,4723025031,6,0,345,0,0
0,0,18,0,0,경상북도 영천시 금호읍 대곡리,8,0,0,0,0,0,0,4723025033,26,0,235,0,0
3,0,59,0,0,경상북도 영천시 금호읍 호남리,42,0,0,0,0,0,0,4723025034,20,0,170,0,0
27,0,42,0,0,경상북도 영천시 화산면 유성리,17,16,0,0,1,0,0,4723033033,72,0,216,0,0
2,0,54,0,0,경상남도 김해시 상동면,379,0,0,0,216,90,0,4825036000,158,0,5553,0,420
0,0,33,0,0,경상남도 김해시 한림면 용덕리,6,0,0,0,0,0,0,4825034025,3,0,253,0,39
0,0,8,0,0,경상남도 김해시 한림면 안곡리,5,0,0,0,16,0,0,4825034026,15,0,385,0,90
100,0,127,0,0,경상남도 김해시 한림면 장방리,81,0,0,0,0,0,0,4825034028,10,0,397,0,0
16,0,266,0,0,경상남도 김해시 한림면 시산리,267,0,0,0,31,69,0,4825034029,1,0,100,0,0
148,27,278,0,0,경상남도 김해시 주촌면,85,1,0,0,53,30,0,4825032000,114,0,1864,0,526
0,0,42,0,0,경상남도 김해시 주촌면 원지리,11,1,0,0,19,0,0,4825032022,10,0,402,0,116
0,0,4,0,0,경상남도 김해시 주촌면 덕암리,7,0,0,0,9,0,0,4825032023,17,0,391,0,70
0,0,95,0,0,충청남도 논산시 광석면 율리,0,0,0,0,0,0,0,4423032032,60,0,92,0,0
0,0,78,0,0,충청남도 논산시 광석면 오강리,0,0,0,0,1,0,0,4423032033,40,0,54,0,0
0,0,68,0,0,충청남도 논산시 노성면 읍내리,1,0,0,0,5,0,0,4423033021,2,0,247,0,1
0,0,26,0,0,충청남도 논산시 노성면 두사리,0,0,0,0,0,0,0,4423033022,0,0,93,0,0
0,0,69,0,0,충청남도 논산시 노성면 송당리,5,0,0,0,47,0,0,4423033023,9,0,189,0,3
0,0,127,0,0,충청남도 논산시 노성면 하도리,12,0,0,0,1,6,0,4423033025,1,0,170,0,0
0,0,152,0,0,경상북도 영주시 부석면 보계리,0,0,0,0,0,0,0,4721039030,4,0,620,0,1
30,0,16,0,0,경상북도 영천시 금호읍 오계리,11,8,0,0,0,0,0,4723025036,58,0,101,0,0
1,0,271,0,0,경상남도 합천군 대양면,177,3,0,0,98,9,0,4889041000,40,0,5102,0,0
0,0,7,0,0,경상남도 합천군 대양면 정양리,91,0,0,0,2,9,0,4889041021,7,0,284,0,0
0,0,22,0,0,경상남도 합천군 대양면 아천리,33,0,0,0,0,0,0,4889041022,0,0,358,0,0
0,0,26,0,0,경상남도 합천군 대양면 무곡리,13,0,0,0,95,0,0,4889041024,1,0,607,0,0
1,0,47,0,0,경상남도 합천군 대양면 덕정리,9,0,0,0,0,0,0,4889041025,5,0,336,0,0
0,0,22,0,0,경상남도 김해시 진례면 신안리,24,0,0,0,24,0,0,4825033025,8,0,574,0,146
0,0,38,0,0,경상남도 김해시 진례면 산본리,13,0,0,0,14,0,0,4825033026,39,0,416,0,44
0,0,3,0,0,경상남도 김해시 진례면 신월리,4,2,0,0,79,0,0,4825033027,3,0,144,0,6
0,0,68,0,0,경상남도 김해시 진례면 담안리,13,6,0,0,1,0,0,4825033029,130,0,170,0,44
242,0,859,0,0,경상남도 김해시 한림면,527,8,0,0,166,80,0,4825034000,75,0,3489,0,480
