alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
0,0,경상남도 사천시 곤명면 용산리,0,8,0,422,0,4824036022,0
0,0,경상남도 사천시 곤명면 조장리,0,11,0,279,0,4824036023,0
5,0,경상남도 사천시 곤명면 봉계리,1,14,0,417,0,4824036024,0
55,0,경상남도 사천시 곤명면 삼정리,0,2,0,143,0,4824036026,170
16,0,경상남도 사천시 곤명면 마곡리,0,6,0,603,0,4824036028,5
0,0,경상남도 사천시 곤명면 성방리,1,10,0,760,0,4824036029,0
62,0,경상남도 김해시 안동,26,9,0,118,0,4825012000,13
0,0,경상남도 김해시 서상동,0,0,0,28,0,4825010200,0
32,0,경상남도 김해시 부원동,0,10,0,144,0,4825010300,14
2,0,경상남도 김해시 대성동,3,2,0,37,0,4825010500,12
63,0,충청남도 예산군 예산읍 관작리,174,8,0,180,0,4481025028,2
73,0,충청남도 예산군 예산읍 창소리,3,7,0,153,0,4481025029,5
61,0,충청남도 예산군 예산읍 신례원리,67,0,0,230,0,4481025030,0
62,0,충청남도 예산군 예산읍 궁평리,3,7,0,123,0,4481025032,0
12,0,경상북도 의성군 안평면 창길리,427,12,0,490,0,4773046034,0
17,0,경상북도 의성군 안평면 괴산리,25,8,0,557,0,4773046035,0
58,0,경상북도 영천시 금호읍 원기리,8,4,0,21,0,4723025037,0
64,0,경상북도 영천시 금호읍 신대리,119,37,0,25,0,4723025038,0
6,0,경상북도 영천시 금호읍 남성리,15,15,0,321,0,4723025039,0
42,0,경상북도 영천시 금호읍 황정리,73,45,0,81,0,4723025041,0
79,0,경상북도 영천시 청통면 호당리,10,22,0,260,0,4723031021,0
0,0,경상북도 영천시 청통면 우천리,6,13,0,457,0,4723031022,0
8,0,경상북도 영천시 청통면 신덕리,0,8,0,479,0,4723031024,0
63,0,경상북도 영천시 금호읍 관정리,11,20,0,47,0,4723025030,0
18,0,경상북도 영천시 금호읍 구암리,2,38,0,428,0,4723025031,0
26,0,경상북도 영천시 금호읍 대곡리,0,8,0,252,0,4723025033,0
23,0,경상북도 영천시 금호읍 호남리,0,42,0,230,0,4723025034,0
98,0,경상북도 영천시 화산면 유성리,17,17,0,258,0,4723033033,0
160,0,경상남도 김해시 상동면,307,379,0,5607,0,4825036000,420
3,0,경상남도 김해시 한림면 용덕리,0,6,0,286,0,4825034025,39
15,0,경상남도 김해시 한림면 안곡리,16,5,0,393,0,4825034026,90
110,0,경상남도 김해시 한림면 장방리,0,81,0,524,0,4825034028,0
17,0,경상남도 김해시 한림면 시산리,100,267,0,366,0,4825034029,0
262,0,경상남도 김해시 주촌면,112,85,0,2141,0,4825032000,526
10,0,경상남도 김해시 주촌면 원지리,20,11,0,443,0,4825032022,116
17,0,경상남도 김해시 주촌면 덕암리,9,7,0,396,0,4825032023,70
60,0,충청남도 논산시 광석면 율리,0,0,0,187,0,4423032032,0
40,0,충청남도 논산시 광석면 오강리,1,0,0,132,0,4423032033,0
2,0,충청남도 논산시 노성면 읍내리,5,1,0,315,0,4423033021,1
0,0,충청남도 논산시 노성면 두사리,0,0,0,119,0,4423033022,0
9,0,충청남도 논산시 노성면 송당리,47,5,0,259,0,4423033023,3
1,0,충청남도 논산시 노성면 하도리,6,12,0,297,0,4423033025,0
4,0,경상북도 영주시 부석면 보계리,0,0,0,773,0,4721039030,1
88,0,경상북도 영천시 금호읍 오계리,8,11,0,118,0,4723025036,0
41,0,경상남도 합천군 대양면,109,177,0,5373,0,4889041000,0
7,0,경상남도 합천군 대양면 정양리,11,91,0,291,0,4889041021,0
0,0,경상남도 합천군 대양면 아천리,0,33,0,380,0,4889041022,0
1,0,경상남도 합천군 대양면 무곡리,95,13,0,633,0,4889041024,0
6,0,경상남도 합천군 대양면 덕정리,0,9,0,383,0,4889041025,0
8,0,경상남도 김해시 진례면 신안리,24,24,0,596,0,4825033025,146
39,0,경상남도 김해시 진례면 산본리,14,13,0,454,0,4825033026,44
3,0,경상남도 김해시 진례면 신월리,81,4,0,146,0,4825033027,6
130,0,경상남도 김해시 진례면 담안리,7,13,0,238,0,4825033029,44
317,0,경상남도 김해시 한림면,254,527,0,4348,0,4825034000,480
