bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,0,0,0,3,0,0,0,1,1,6,0,9,4,2,0,6,4824036022
경상남도 사천시 곤명면 조장리,0,0,2,0,0,18,-,-,-,-,-,-,0,1,0,1,1,9,11,24,5,10,6,4,4824036023
경상남도 사천시 곤명면 봉계리,1,0,1,0,1,5,-,-,-,-,-,-,0,1,1,0,0,13,7,26,10,4,2,7,4824036024
경상남도 사천시 곤명면 삼정리,0,1,0,0,0,4,0,0,0,0,0,1,0,0,3,2,5,12,9,28,13,3,2,1,4824036026
경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,6,4,40,12,7,2,3,4824036028
경상남도 사천시 곤명면 성방리,0,0,0,1,0,4,0,4,0,0,0,0,0,7,2,2,2,6,10,24,5,1,0,12,4824036029
경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,4825012000
경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4825010200
경상남도 김해시 부원동,1,0,0,0,0,0,-,-,-,-,-,-,0,0,0,1,0,0,0,1,12,17,6,7,4825010300
충청남도 예산군 예산읍 관작리,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1,1,12,0,3,3,5,2,2,4481025028
충청남도 예산군 예산읍 창소리,0,1,2,2,4,24,0,0,0,1,1,1,1,1,1,3,5,24,0,1,2,3,4,4,4481025029
충청남도 예산군 예산읍 신례원리,0,0,1,1,1,25,0,0,2,2,0,2,0,0,0,1,2,20,2,8,9,8,2,3,4481025030
충청남도 예산군 예산읍 궁평리,0,0,0,0,0,2,-,-,-,-,-,-,0,0,0,0,0,5,1,4,10,19,18,22,4481025032
경상북도 의성군 안평면 창길리,0,1,0,0,0,4,0,0,2,3,2,29,0,1,0,1,1,9,0,0,0,0,0,1,4773046034
경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,1,5,2,2,7,39,0,0,0,0,0,4,-,-,-,-,-,-,4773046035
경상북도 영천시 금호읍 원기리,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,17,-,-,-,-,-,-,4723025037
경상북도 영천시 금호읍 신대리,0,0,0,0,0,7,0,1,2,1,5,55,0,0,0,0,1,61,0,0,0,0,0,1,4723025038
경상북도 영천시 금호읍 남성리,0,0,0,0,0,1,0,1,0,4,0,15,0,0,0,0,0,29,-,-,-,-,-,-,4723025039
경상북도 영천시 금호읍 황정리,1,0,0,1,1,3,0,2,2,4,4,44,0,0,0,0,1,68,-,-,-,-,-,-,4723025041
