acid_Fachs1_Area,acid_Fachs2_Area,acid_Fachs3_Area,acid_Fachs4_Area,acid_Fachs5_Area,acid_Fachs6_Area,acid_Fruit1_Area,acid_Fruit2_Area,acid_Fruit3_Area,acid_Fruit4_Area,acid_Fruit5_Area,acid_Fruit6_Area,acid_Pfld1_Area,acid_Pfld2_Area,acid_Pfld3_Area,acid_Pfld4_Area,acid_Pfld5_Area,acid_Pfld6_Area,acid_Rfld1_Area,acid_Rfld2_Area,acid_Rfld3_Area,acid_Rfld4_Area,acid_Rfld5_Area,acid_Rfld6_Area,bjd_Nm,stdg_Cd
-,-,-,-,-,-,0,0,0,0,1,2,2,0,0,0,2,3,0,0,2,6,4,7,경상남도 사천시 곤명면 용산리,4824036022
0,0,0,1,4,14,-,-,-,-,-,-,3,5,3,0,0,0,1,9,12,17,11,5,경상남도 사천시 곤명면 조장리,4824036023
0,0,0,1,2,4,0,0,0,0,0,1,0,0,3,4,1,5,0,1,9,18,23,3,경상남도 사천시 곤명면 봉계리,4824036024
0,0,0,0,1,4,0,0,0,0,0,1,0,0,4,10,5,2,0,0,10,25,12,2,경상남도 사천시 곤명면 삼정리,4824036026
-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,2,0,0,0,12,25,23,3,경상남도 사천시 곤명면 마곡리,4824036028
0,0,0,0,2,2,-,-,-,-,-,-,5,5,6,0,0,1,0,0,4,18,21,6,경상남도 사천시 곤명면 성방리,4824036029
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,경상남도 김해시 안동,4825012000
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,경상남도 김해시 서상동,4825010200
0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,1,0,0,0,1,10,11,6,9,경상남도 김해시 부원동,4825010300
0,0,1,2,1,1,2,0,0,0,0,1,1,0,2,3,3,3,0,0,6,5,3,0,충청남도 예산군 예산읍 관작리,4481025028
1,2,3,6,7,14,0,0,1,1,0,0,1,3,3,6,9,10,0,0,4,2,4,2,충청남도 예산군 예산읍 창소리,4481025029
0,1,5,5,11,5,0,0,0,0,0,5,2,2,3,5,8,4,0,0,10,11,7,1,충청남도 예산군 예산읍 신례원리,4481025030
0,0,0,0,0,1,-,-,-,-,-,-,1,1,1,1,1,0,0,2,35,18,8,5,충청남도 예산군 예산읍 궁평리,4481025032
