bjd_Nm,stdg_Cd,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
서울특별시,1100000000,8,8,4,5,8,208,32,19,13,6,4,51,74,46,35,28,24,509,135,30,7,2,0,2
인천광역시,2800000000,57,172,122,96,58,646,55,26,31,16,11,227,493,404,260,181,182,1806,9021,9261,2023,548,190,292
경기도,4100000000,711,300,316,280,306,8916,1076,826,736,626,691,19227,6230,5195,3552,3169,2899,37771,53110,50920,23464,9836,4180,5538
강원특별자치도,5100000000,687,2774,273,1583,590,8928,1269,1868,308,325,783,2654,40674,17555,7210,6458,5579,64600,16371,18279,10316,5022,2409,4579
충청북도,4300000000,216,252,253,260,232,2938,1289,860,855,748,983,7657,6928,4072,4186,3959,3793,34780,20027,19768,10092,4866,2329,3823
충청남도,4400000000,2240,643,772,1016,834,11114,39606,4044,2352,1677,1550,13616,6068,4806,4218,3473,3417,43978,92014,62907,25717,9684,4152,5763
세종특별자치시 ,3611000000,8,7,13,10,14,247,560,158,87,71,61,942,227,186,146,136,113,1695,1853,2277,1164,555,267,486
대전광역시,3000000000,2,2,6,5,7,207,25,13,20,13,16,230,86,48,29,21,22,1066,85,493,2356,512,115,168
대구광역시,2700000000,11,8,15,12,17,666,29,37,38,34,37,1051,163,635,223,250,175,1896,397,692,711,548,365,940
경상북도,4700000000,1290,1378,1456,1475,1564,17960,4930,2991,2796,5454,3297,40096,9580,5473,6230,6184,5730,55046,32303,22734,27228,7497,4210,8407
경상남도,4800000000,278,260,421,387,438,10277,5869,2437,2129,1896,1296,11534,19158,5215,5638,5259,4836,42036,12566,17527,20336,16089,7105,16514
전북특별자치도,5200000000,872,580,672,577,596,5540,38818,1339,4758,2659,726,9855,8432,5117,4484,4001,5190,49416,37005,50659,33606,14385,6834,16126
전라남도,4600000000,283,345,363,349,368,7327,20736,6360,3570,2542,2108,18867,25843,14720,12697,12926,12138,111135,88520,95364,57011,25829,14445,29678
제주특별자치도,5000000000,1098,363,287,247,218,1937,1832,1125,925,824,754,6968,95847,18001,8211,6627,5033,37083,28,4,5,3,1,2
광주광역시,2900000000,7,7,7,10,12,535,4,6,4,6,8,103,175,79,52,66,48,544,1442,2210,1270,565,275,520
울산광역시,3100000000,5,3,15,4,5,152,174,61,49,56,65,884,3320,915,760,335,149,3136,2576,1887,1146,580,233,609
부산광역시,2600000000,24,16,23,27,42,1000,26,9,5,5,4,25,295,92,136,121,106,1877,837,964,632,302,159,295
