bjd_Nm,posifertca_Fachs1_Area,posifertca_Fachs2_Area,posifertca_Fachs3_Area,posifertca_Fachs4_Area,posifertca_Fachs5_Area,posifertca_Fachs6_Area,posifertca_Fruit1_Area,posifertca_Fruit2_Area,posifertca_Fruit3_Area,posifertca_Fruit4_Area,posifertca_Fruit5_Area,posifertca_Fruit6_Area,posifertca_Pfld1_Area,posifertca_Pfld2_Area,posifertca_Pfld3_Area,posifertca_Pfld4_Area,posifertca_Pfld5_Area,posifertca_Pfld6_Area,posifertca_Rfld1_Area,posifertca_Rfld2_Area,posifertca_Rfld3_Area,posifertca_Rfld4_Area,posifertca_Rfld5_Area,posifertca_Rfld6_Area,stdg_Cd
서울특별시,10,10,19,14,17,169,13,9,14,15,15,58,54,39,47,57,61,456,1,2,8,14,21,132,1100000000
인천광역시,47,73,58,69,91,812,43,29,20,34,22,217,644,508,466,434,357,921,1375,2481,4885,4419,2862,4122,2800000000
경기도,568,463,794,854,884,7085,1665,1539,1964,1834,1763,14415,10509,9029,8936,7776,5746,16198,21825,35576,32710,23057,14229,18594,4100000000
강원특별자치도,246,802,1107,1208,2027,9434,2961,1213,593,553,424,1463,32322,20022,16770,17498,12260,43386,7938,10035,11528,9144,6880,11115,5100000000
충청북도,85,142,273,363,410,2880,1309,1143,1432,1565,1708,5229,9281,8638,7907,6536,6390,18453,7257,11093,13381,10944,7082,10354,4300000000
충청남도,1832,819,816,1435,1571,10150,45959,2605,1929,2279,2037,8037,7986,7205,8885,10080,8542,23181,19325,27979,41031,40167,30720,40017,4400000000
세종특별자치시 ,3,6,7,16,27,239,670,180,227,220,190,397,364,462,440,390,270,574,558,1603,1720,1364,718,632,3611000000
대전광역시,2,6,10,18,19,173,52,43,43,37,39,103,151,245,299,291,136,142,83,449,1713,1027,309,123,3000000000
대구광역시,15,50,53,63,66,481,203,202,182,159,138,344,622,305,332,386,415,1275,74,241,550,675,663,1439,2700000000
경상북도,522,720,1251,1790,2127,18717,2960,5011,5240,6548,7652,32160,10508,9674,11596,12674,11410,32024,4179,12785,20429,15241,17234,30604,4700000000
경상남도,271,348,567,896,1160,8821,7066,2533,2662,2432,2340,8129,22030,11324,15391,10605,7738,14783,5825,8818,15871,14807,12586,23936,4800000000
전북특별자치도,407,593,795,1047,1121,4875,6542,23080,6797,7165,5214,9366,13663,9930,10449,10773,11381,20287,15535,19013,30394,33283,24551,33564,5200000000
전라남도,241,331,478,644,786,6557,26147,4901,4219,3862,3194,11866,27472,21440,30024,32676,28454,48880,26749,35222,54168,64554,51346,75070,4600000000
제주특별자치도,1136,335,319,298,260,1803,3462,1891,1459,1191,898,3527,78017,26003,16513,12630,9610,28029,23,1,4,1,2,12,5000000000
광주광역시,3,2,6,12,19,537,4,5,9,22,17,73,92,137,178,142,120,276,581,1057,1295,1155,962,980,2900000000
울산광역시,5,11,12,13,12,131,270,150,142,102,130,495,1843,1440,1459,839,573,2460,1118,1321,1263,1069,838,1423,3100000000
부산광역시,6,10,19,41,63,991,9,1,4,18,5,37,224,242,272,292,376,1222,124,253,577,846,593,796,2600000000
