bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
서울특별시,1,3,6,11,8,210,1,3,8,11,9,92,20,44,66,77,63,445,12,42,38,34,26,26,1100000000
인천광역시,36,124,138,116,107,629,13,30,37,12,16,258,128,439,413,462,308,1585,676,3058,4676,4371,2699,5843,2800000000
경기도,631,601,636,651,630,7680,499,1211,1231,1358,1338,17546,2015,6550,6610,6631,4928,32079,17040,36983,35274,22826,12683,22253,4100000000
강원특별자치도,244,683,331,324,394,12863,176,399,1083,379,1947,3220,9113,22496,19376,16060,9453,65903,5835,14299,12831,8937,5653,9423,5100000000
충청북도,147,403,466,385,326,2426,480,1386,1269,1381,1215,6662,3453,6334,5605,5906,5365,31036,9707,20887,14139,7431,3819,5068,4300000000
충청남도,1659,786,1094,1089,1005,10989,23112,9645,7658,4799,3352,14281,3288,5954,6344,5809,5307,39261,14830,41944,47289,34998,21240,43460,4400000000
세종특별자치시 ,5,22,27,22,19,205,28,348,379,195,198,737,211,359,427,288,240,979,413,2487,1996,888,360,459,3611000000
대전광역시,1,4,8,9,11,194,6,20,26,16,21,228,34,93,72,76,115,883,109,772,887,617,313,1032,3000000000
대구광역시,13,38,48,58,52,519,8,48,88,109,127,849,104,243,720,336,304,1636,319,855,932,623,389,535,2700000000
경상북도,1107,2908,2928,2542,2095,13545,1410,3299,5528,4912,5062,39359,3979,8538,9074,8965,8590,49101,10443,32402,22786,18668,7786,10296,4700000000
경상남도,214,430,562,590,642,9623,1132,2809,3050,2453,2466,13251,5427,9685,10240,7865,8128,40790,7220,20379,20482,16655,9124,16272,4800000000
전북특별자치도,258,732,1159,699,642,5348,576,1723,15626,11325,8879,20036,2906,5344,5615,5826,6403,50214,14211,33872,36883,26046,15790,31821,5200000000
전라남도,83,329,487,488,496,7152,2235,9501,8937,6725,5369,21423,3120,9949,15523,17258,20560,123048,11382,42985,58082,51301,37903,109054,4600000000
제주특별자치도,8,22,66,71,102,3880,119,517,1177,1365,1335,7917,6415,26389,17135,16502,13392,90914,0,0,23,4,2,14,5000000000
광주광역시,8,15,18,21,17,500,4,7,13,9,6,91,40,63,116,122,126,497,380,1433,1814,1191,709,755,2900000000
울산광역시,3,13,5,6,5,150,31,84,106,99,108,863,596,1696,1125,727,973,3499,773,2087,1855,876,522,918,3100000000
부산광역시,30,54,71,65,63,848,9,21,7,3,2,32,231,189,196,251,240,1521,187,627,776,572,405,623,2600000000
