bjd_Nm,posifertmg_Fachs1_Area,posifertmg_Fachs2_Area,posifertmg_Fachs3_Area,posifertmg_Fachs4_Area,posifertmg_Fachs5_Area,posifertmg_Fachs6_Area,posifertmg_Fruit1_Area,posifertmg_Fruit2_Area,posifertmg_Fruit3_Area,posifertmg_Fruit4_Area,posifertmg_Fruit5_Area,posifertmg_Fruit6_Area,posifertmg_Pfld1_Area,posifertmg_Pfld2_Area,posifertmg_Pfld3_Area,posifertmg_Pfld4_Area,posifertmg_Pfld5_Area,posifertmg_Pfld6_Area,posifertmg_Rfld1_Area,posifertmg_Rfld2_Area,posifertmg_Rfld3_Area,posifertmg_Rfld4_Area,posifertmg_Rfld5_Area,posifertmg_Rfld6_Area,stdg_Cd
서울특별시,1,9,14,22,35,159,6,24,18,19,18,40,83,137,124,111,91,169,1,25,69,45,11,27,1100000000
인천광역시,27,54,135,113,126,696,37,46,45,57,82,97,325,601,732,603,418,650,749,1584,2650,4088,4392,6683,2800000000
경기도,512,913,896,1169,1263,5894,1226,2282,3070,10722,1879,4002,8586,12920,11770,8317,5153,11446,25009,52971,32453,11879,7002,16674,4100000000
강원특별자치도,7749,663,1795,727,1087,2800,1255,3056,939,648,445,863,42357,39905,20905,12392,8634,18063,13225,18407,9830,5882,3475,5822,5100000000
충청북도,57,257,434,503,561,2337,1526,2137,2491,1985,1483,2752,9749,14400,11423,7252,4553,9810,7845,22502,15057,7197,3405,4081,4300000000
충청남도,1751,722,1685,1676,2238,8551,40131,7081,4057,4117,2454,5007,6877,11126,12852,10792,8127,16102,17039,37575,38582,33822,23352,48870,4400000000
세종특별자치시 ,5,9,22,35,60,168,527,378,287,292,190,210,273,603,586,432,236,371,816,3258,1682,474,173,194,3611000000
대전광역시,3,13,20,35,35,122,54,69,59,46,28,60,303,529,235,114,47,36,731,1065,852,454,375,227,3000000000
대구광역시,17,80,116,119,108,289,133,293,307,218,139,139,685,541,608,497,371,633,193,912,979,726,429,403,2700000000
경상북도,465,1395,2368,2994,3208,14691,3563,8422,11291,10882,8387,17019,8985,16111,18118,14582,10403,19676,9438,25602,29873,14703,8322,12530,4700000000
경상남도,365,829,1474,1574,2212,5607,6210,4976,4421,3223,2394,3923,20062,17785,21208,10411,5477,6909,10922,22706,22288,11916,6644,7367,4800000000
전북특별자치도,357,749,1015,1515,1245,3956,3432,28318,4565,9446,8885,3518,9802,16533,18506,14073,7289,10276,18894,33604,33401,27629,17924,24864,5200000000
전라남도,192,519,868,986,1220,5249,24718,8583,5992,4657,3459,6775,18162,30457,48584,40561,23097,28084,30276,61901,64369,41993,29635,79023,4600000000
제주특별자치도,214,373,1216,436,361,1549,2263,2938,2310,1577,1053,2287,52481,40617,24887,15962,11000,25842,23,0,2,6,3,9,5000000000
광주광역시,1,8,24,25,46,474,4,9,18,27,24,47,24,148,222,224,119,207,513,1330,1922,1418,548,298,2900000000
울산광역시,2,9,10,18,24,119,200,256,222,204,142,265,1080,2538,2041,901,583,1472,1178,2320,1600,838,531,565,3100000000
부산광역시,3,19,39,52,79,939,8,16,8,18,9,16,188,433,578,415,325,690,160,345,417,313,270,1685,2600000000
