bjd_Nm,om_Fachs1_Area,om_Fachs2_Area,om_Fachs3_Area,om_Fachs4_Area,om_Fachs5_Area,om_Fachs6_Area,om_Fruit1_Area,om_Fruit2_Area,om_Fruit3_Area,om_Fruit4_Area,om_Fruit5_Area,om_Fruit6_Area,om_Pfld1_Area,om_Pfld2_Area,om_Pfld3_Area,om_Pfld4_Area,om_Pfld5_Area,om_Pfld6_Area,om_Rfld1_Area,om_Rfld2_Area,om_Rfld3_Area,om_Rfld4_Area,om_Rfld5_Area,om_Rfld6_Area,stdg_Cd
서울특별시,6,33,33,42,65,62,21,36,28,17,15,7,82,157,150,109,112,104,90,78,7,2,1,0,1100000000
인천광역시,53,254,421,244,111,65,21,105,123,50,42,22,621,1295,785,311,171,130,1455,7056,8240,3581,696,306,2800000000
경기도,1318,2432,3087,2076,1215,700,2661,5557,3557,9964,863,580,13374,23766,12846,5394,2209,1308,12618,64149,55031,12981,1629,655,4100000000
강원특별자치도,525,5830,4502,2190,1066,722,593,1418,2591,642,1027,938,14532,31126,38644,18986,10081,29173,6094,21132,19352,7416,1710,1276,5100000000
충청북도,397,1324,1311,669,249,203,1791,4022,3097,1545,848,1089,9240,22245,14824,6889,1879,2641,6477,27869,19337,5478,1016,729,4300000000
충청남도,2278,3853,5727,2810,1320,632,8199,33349,10303,5377,2959,2660,9135,23360,20313,8318,2890,1942,20551,89378,73449,16743,2398,1235,4400000000
세종특별자치시 ,19,91,93,55,26,15,468,662,406,225,64,59,628,1122,531,152,46,24,701,3241,2078,371,45,166,3611000000
대전광역시,4,36,64,68,40,18,44,109,71,49,22,23,357,439,323,102,34,17,40,1706,1704,237,34,9,3000000000
대구광역시,30,137,216,164,104,78,75,383,418,229,78,42,734,1090,866,393,168,90,96,867,1608,798,165,120,2700000000
경상북도,4505,10539,5794,2411,1035,838,8549,18383,14893,8215,5387,4141,15491,33182,22657,9297,3801,3815,16666,51734,22391,8680,1282,1635,4700000000
경상남도,585,2008,3314,2843,2216,1095,2758,6671,6553,4013,2446,2719,4356,24114,20304,11026,6646,15703,2929,22002,39697,18307,4472,2728,4800000000
전북특별자치도,592,2536,2298,1459,817,1130,2024,4365,3521,3471,9627,35150,9443,25968,23991,9749,4246,3242,10863,49207,64074,25635,6315,2536,5200000000
전라남도,359,1478,2829,2241,1156,956,5968,10055,12945,10060,7075,8066,19886,63495,61924,23666,12545,7937,18201,99535,132529,46216,8948,5406,4600000000
제주특별자치도,12,48,91,144,152,3704,103,173,407,704,873,10170,2340,18980,13900,8321,9683,117441,0,3,3,4,2,31,5000000000
광주광역시,15,79,260,172,39,13,30,39,20,9,15,17,160,332,302,115,41,15,636,1763,2843,923,109,8,2900000000
울산광역시,13,23,38,44,31,35,176,325,250,212,119,207,1877,2688,2186,992,575,297,563,2402,2543,1098,300,126,3100000000
부산광역시,49,254,376,311,113,28,15,23,21,6,4,7,233,722,893,458,182,140,264,1043,1101,553,130,99,2600000000
