bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
서울특별시,1100000000,4,23,28,21,24,77
인천광역시,2800000000,3778,7537,4643,1968,930,1313
경기도,4100000000,21908,48190,28934,14499,8951,20585
강원특별자치도,5100000000,8376,15502,11917,7512,4504,8909
충청북도,4300000000,14317,21757,10240,5633,2861,4807
충청남도,4400000000,23491,60120,47842,28122,16719,26770
세종특별자치시 ,3611000000,1142,2541,1444,806,348,308
대전광역시,3000000000,181,2028,1382,60,19,33
대구광역시,2700000000,584,1178,724,522,198,292
경상북도,4700000000,14780,38523,19617,9454,5204,13121
경상남도,4800000000,13222,21196,17172,11683,5281,8620
전북특별자치도,5200000000,18112,37011,40577,19562,13075,26536
전라남도,4600000000,40901,78713,67493,48364,27225,42932
제주특별자치도,5000000000,38,0,0,0,0,0
광주광역시,2900000000,1571,1731,853,532,346,979
울산광역시,3100000000,630,2071,2090,1899,104,210
부산광역시,2600000000,669,1185,702,330,118,175
