acid_Fachs1_Area,acid_Fachs2_Area,acid_Fachs3_Area,acid_Fachs4_Area,acid_Fachs5_Area,acid_Fachs6_Area,acid_Fruit1_Area,acid_Fruit2_Area,acid_Fruit3_Area,acid_Fruit4_Area,acid_Fruit5_Area,acid_Fruit6_Area,acid_Pfld1_Area,acid_Pfld2_Area,acid_Pfld3_Area,acid_Pfld4_Area,acid_Pfld5_Area,acid_Pfld6_Area,acid_Rfld1_Area,acid_Rfld2_Area,acid_Rfld3_Area,acid_Rfld4_Area,acid_Rfld5_Area,acid_Rfld6_Area,bjd_Nm,stdg_Cd
3,13,18,41,70,84,4,5,5,8,18,78,28,39,58,81,152,330,1,1,7,11,13,141,서울특별시,1100000000
6,34,67,151,277,585,1,8,32,33,61,218,118,308,462,566,659,1016,726,774,3208,4999,5000,3934,인천광역시,2800000000
398,260,712,1589,2208,5078,481,1040,1250,1637,2955,15135,2904,6213,7478,9440,11448,16380,1905,8290,37201,38738,29048,13418,경기도,4100000000
55,624,1130,3431,2095,6265,60,332,2821,1349,883,1399,6731,17006,31957,22857,24360,27257,672,2216,12951,17824,11895,5070,강원특별자치도,5100000000
56,219,334,513,947,1923,241,699,1327,1460,2363,5596,2825,8193,10834,7962,9084,14401,630,3159,15622,16268,11108,6658,충청북도,4300000000
570,649,1777,2336,4857,5811,4140,14945,6048,23155,2992,8183,4223,7720,10276,11048,12418,15584,8679,6808,37745,51126,45784,31963,충청남도,4400000000
4,13,21,41,73,132,165,439,282,235,234,391,123,318,408,402,445,612,23,449,1818,1812,1108,645,세종특별자치시 ,3611000000
1,8,14,22,55,122,6,39,44,62,64,82,113,177,157,201,198,344,100,264,813,1189,807,114,대전광역시,3000000000
15,50,53,77,181,335,311,215,147,137,166,190,210,699,274,431,539,1030,107,371,710,745,742,627,대구광역시,2700000000
185,629,1263,2522,5200,14730,1486,3483,6744,7040,12563,25898,6118,9664,11889,13436,18666,23663,1942,7444,15447,26964,24117,17618,경상북도,4700000000
150,340,759,2329,2719,5376,1075,4050,4356,3984,4045,5503,8325,15577,13707,12262,9785,10001,2252,3994,18633,23185,16818,8885,경상남도,4800000000
170,478,1306,1550,2108,2808,261,3658,27021,12386,5072,4638,6844,14315,14418,11943,10273,12068,8539,6833,28331,40978,35327,23196,전북특별자치도,5200000000
97,393,814,1417,2317,3630,5928,15216,9668,5888,6046,6913,11694,28771,31808,38568,30302,32304,11913,14313,54053,73239,62272,66422,전라남도,4600000000
381,708,715,1300,465,255,1478,3030,2820,1813,1199,772,15953,24985,38116,36887,25741,11608,0,2,2,5,6,5,제주특별자치도,5000000000
3,14,30,65,158,297,3,13,9,13,21,67,78,151,153,138,136,203,453,818,1410,1231,971,446,광주광역시,2900000000
2,6,12,33,43,80,172,260,194,158,187,215,478,951,1492,1664,1724,1405,501,1430,2082,983,777,349,울산광역시,3100000000
15,24,50,118,187,707,3,3,14,7,14,30,166,173,252,289,442,1193,125,344,756,809,481,303,부산광역시,2600000000
