stdg_Cd,bjd_Nm,allcolluvm_Layer_Area,alluvm_Layer_Area,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area
4824036022,경상남도 사천시 곤명면 용산리,30,0,50,0,8,343
4824036023,경상남도 사천시 곤명면 조장리,34,68,1,0,11,175
4824036024,경상남도 사천시 곤명면 봉계리,87,58,6,0,14,271
4824036026,경상남도 사천시 곤명면 삼정리,107,0,35,0,2,226
4824036028,경상남도 사천시 곤명면 마곡리,117,7,28,0,6,470
4824036029,경상남도 사천시 곤명면 성방리,102,51,2,0,10,606
4825012000,경상남도 김해시 안동,34,95,29,0,9,62
4825010200,경상남도 김해시 서상동,26,0,2,0,0,0
4825010300,경상남도 김해시 부원동,13,156,3,0,10,17
4825010500,경상남도 김해시 대성동,25,3,15,0,2,11
4481025028,충청남도 예산군 예산읍 관작리,76,29,17,65,8,232
4481025029,충청남도 예산군 예산읍 창소리,85,105,5,34,7,5
4481025030,충청남도 예산군 예산읍 신례원리,140,9,14,37,0,157
4481025032,충청남도 예산군 예산읍 궁평리,23,141,1,23,7,0
4773046034,경상북도 의성군 안평면 창길리,117,35,88,0,12,689
4773046035,경상북도 의성군 안평면 괴산리,66,29,74,0,8,428
4723025037,경상북도 영천시 금호읍 원기리,4,12,2,56,4,12
4723025038,경상북도 영천시 금호읍 신대리,1,136,0,64,37,7
4723025039,경상북도 영천시 금호읍 남성리,79,17,5,0,15,241
4723025041,경상북도 영천시 금호읍 황정리,10,113,4,38,45,31
4723031021,경상북도 영천시 청통면 호당리,49,43,8,71,22,178
4723031022,경상북도 영천시 청통면 우천리,150,6,0,0,13,307
4723031024,경상북도 영천시 청통면 신덕리,114,0,8,0,8,365
4723025030,경상북도 영천시 금호읍 관정리,0,58,0,63,20,0
4723025031,경상북도 영천시 금호읍 구암리,108,50,6,12,38,272
4723025033,경상북도 영천시 금호읍 대곡리,71,0,4,24,8,179
4723025034,경상북도 영천시 금호읍 호남리,90,0,0,22,42,140
4723033033,경상북도 영천시 화산면 유성리,88,24,11,87,17,163
4825036000,경상남도 김해시 상동면,309,571,1075,0,379,4539
4825034025,경상남도 김해시 한림면 용덕리,85,16,38,0,6,187
4825034026,경상남도 김해시 한림면 안곡리,44,22,66,0,5,381
4825034028,경상남도 김해시 한림면 장방리,70,303,29,0,81,232
4825034029,경상남도 김해시 한림면 시산리,7,460,1,0,267,15
4825032000,경상남도 김해시 주촌면,360,432,475,57,85,1716
4825032022,경상남도 김해시 주촌면 원지리,66,61,77,0,11,387
4825032023,경상남도 김해시 주촌면 덕암리,33,21,99,0,7,338
4423032032,충청남도 논산시 광석면 율리,87,51,0,37,0,73
4423032033,충청남도 논산시 광석면 오강리,58,71,1,9,0,33
4423033021,충청남도 논산시 노성면 읍내리,153,8,5,0,1,157
4423033022,충청남도 논산시 노성면 두사리,61,0,0,0,0,59
4423033023,충청남도 논산시 노성면 송당리,138,4,8,0,5,169
4423033025,충청남도 논산시 노성면 하도리,84,116,0,1,12,104
4721039030,경상북도 영주시 부석면 보계리,323,1,4,0,0,448
