stdg_Cd,bjd_Nm,allvplain_Tpgraphy_Area,alpine_Tpgraphy_Area,diluvial_Tpgraphy_Area,etc_Area,hilly_Tpgraphy_Area,lavaplain_Tpgraphy_Area,lavaplate_Tpgraphy_Area,marnplain_Tpgraphy_Area,mount_Tpgraphy_Area,piedmont_Tpgraphy_Area,valley_Tpgraphy_Area
4824036022,경상남도 사천시 곤명면 용산리,0,0,0,8,10,0,0,0,333,29,50
4824036023,경상남도 사천시 곤명면 조장리,68,0,0,11,3,0,0,0,172,0,34
4824036024,경상남도 사천시 곤명면 봉계리,58,0,0,14,17,0,0,0,254,7,86
4824036026,경상남도 사천시 곤명면 삼정리,0,0,0,2,29,0,0,0,197,41,101
4824036028,경상남도 사천시 곤명면 마곡리,7,0,0,6,26,0,0,0,445,37,109
4824036029,경상남도 사천시 곤명면 성방리,51,0,0,10,16,0,0,0,589,1,102
4825012000,경상남도 김해시 안동,26,0,0,9,1,0,0,69,60,33,30
4825010200,경상남도 김해시 서상동,0,0,0,0,0,0,0,0,0,2,26
4825010300,경상남도 김해시 부원동,7,0,0,10,10,0,0,148,7,3,13
4825010500,경상남도 김해시 대성동,3,0,0,2,3,0,0,0,8,17,23
4481025028,충청남도 예산군 예산읍 관작리,20,0,63,8,20,0,0,0,214,17,86
4481025029,충청남도 예산군 예산읍 창소리,73,0,34,7,5,0,0,29,0,5,87
4481025030,충청남도 예산군 예산읍 신례원리,0,6,37,0,14,0,0,0,142,14,143
4481025032,충청남도 예산군 예산읍 궁평리,44,0,23,7,0,0,0,97,0,1,23
4773046034,경상북도 의성군 안평면 창길리,33,0,0,12,113,0,0,0,575,68,139
4773046035,경상북도 의성군 안평면 괴산리,29,0,0,8,12,0,0,0,416,63,77
4723025037,경상북도 영천시 금호읍 원기리,12,0,56,4,12,0,0,0,0,2,4
4723025038,경상북도 영천시 금호읍 신대리,136,0,64,37,7,0,0,0,0,0,1
4723025039,경상북도 영천시 금호읍 남성리,17,0,0,15,228,0,0,0,13,5,79
4723025041,경상북도 영천시 금호읍 황정리,113,0,38,45,10,0,0,0,21,4,10
4723031021,경상북도 영천시 청통면 호당리,42,0,71,22,34,0,0,0,145,8,49
4723031022,경상북도 영천시 청통면 우천리,6,0,0,13,118,0,0,0,189,0,150
4723031024,경상북도 영천시 청통면 신덕리,0,0,0,8,47,0,0,0,317,8,114
4723025030,경상북도 영천시 금호읍 관정리,58,0,63,20,0,0,0,0,0,0,0
4723025031,경상북도 영천시 금호읍 구암리,50,0,12,38,80,0,0,0,192,6,108
4723025033,경상북도 영천시 금호읍 대곡리,0,0,24,8,48,0,0,0,132,11,64
4723025034,경상북도 영천시 금호읍 호남리,0,0,22,42,75,0,0,0,65,0,90
4723033033,경상북도 영천시 화산면 유성리,24,0,87,17,82,0,0,0,81,11,88
4825036000,경상남도 김해시 상동면,414,0,0,379,74,0,0,0,4466,1178,363
4825034025,경상남도 김해시 한림면 용덕리,7,0,0,6,2,0,0,0,185,65,67
4825034026,경상남도 김해시 한림면 안곡리,0,0,0,5,0,0,0,0,381,96,36
4825034028,경상남도 김해시 한림면 장방리,298,0,0,81,36,0,0,0,196,33,72
4825034029,경상남도 김해시 한림면 시산리,460,0,0,267,0,0,0,0,15,1,7
4825032000,경상남도 김해시 주촌면,95,0,57,85,61,0,0,183,1655,504,485
4825032022,경상남도 김해시 주촌면 원지리,3,0,0,11,0,0,0,0,387,68,133
4825032023,경상남도 김해시 주촌면 덕암리,1,0,0,7,0,0,0,0,338,108,44
4423032032,충청남도 논산시 광석면 율리,51,0,37,0,73,0,0,0,0,0,87
4423032033,충청남도 논산시 광석면 오강리,71,0,9,0,33,0,0,0,0,1,58
4423033021,충청남도 논산시 노성면 읍내리,0,0,0,1,135,0,0,0,22,5,161
4423033022,충청남도 논산시 노성면 두사리,0,0,0,0,56,0,0,0,3,0,61
4423033023,충청남도 논산시 노성면 송당리,0,0,0,5,75,0,0,0,95,8,143
4423033025,충청남도 논산시 노성면 하도리,115,0,1,12,76,0,0,0,28,0,85
4721039030,경상북도 영주시 부석면 보계리,0,0,0,0,1,0,0,0,446,4,324
4723025036,경상북도 영천시 금호읍 오계리,15,0,88,11,70,0,0,0,10,0,31
4889041000,경상남도 합천군 대양면,117,0,5,177,317,0,0,0,3966,96,1022
4889041021,경상남도 합천군 대양면 정양리,13,0,0,91,8,0,0,0,239,7,43
4889041022,경상남도 합천군 대양면 아천리,8,0,0,33,18,0,0,0,288,0,66
4889041024,경상남도 합천군 대양면 무곡리,5,0,0,13,13,0,0,0,513,50,146
4889041025,경상남도 합천군 대양면 덕정리,29,0,5,9,46,0,0,0,220,9,78
4825033025,경상남도 김해시 진례면 신안리,0,0,7,24,14,0,0,0,530,156,67
4825033026,경상남도 김해시 진례면 산본리,1,0,0,13,0,0,0,0,323,143,83
4825033027,경상남도 김해시 진례면 신월리,6,0,0,4,4,0,0,0,90,45,91
4825033029,경상남도 김해시 진례면 담안리,47,0,67,13,0,0,0,0,107,140,61
4825034000,경상남도 김해시 한림면,1285,0,11,527,87,0,0,0,2661,635,719
4825034021,경상남도 김해시 한림면 명동리,3,0,0,11,9,0,0,0,243,86,96
4825034023,경상남도 김해시 한림면 병동리,19,0,0,11,0,0,0,0,302,92,109
4418039025,충청남도 보령시 미산면 늑전리,0,0,0,16,41,0,0,0,290,18,61
4418039026,충청남도 보령시 미산면 도흥리,0,0,0,0,17,0,0,0,776,40,85
4418039027,충청남도 보령시 미산면 봉성리,0,0,0,6,17,0,0,0,258,26,65
4418039029,충청남도 보령시 미산면 은현리,0,0,0,0,46,0,0,0,146,10,59
4418039030,충청남도 보령시 미산면 내평리,0,0,0,4,24,0,0,0,245,12,58
4423033026,충청남도 논산시 노성면 죽림리,9,0,51,0,49,0,0,0,39,3,124
4423032024,충청남도 논산시 광석면 갈산리,0,0,0,0,80,0,0,151,1,0,131
4423032025,충청남도 논산시 광석면 광리,0,0,0,0,11,0,0,98,0,0,25
4423032027,충청남도 논산시 광석면 산동리,108,0,0,0,0,0,0,136,0,0,0
4423032029,충청남도 논산시 광석면 왕전리,122,0,0,3,33,0,0,0,34,0,84
4423032030,충청남도 논산시 광석면 항월리,49,0,0,7,92,0,0,0,27,0,116
4717035030,경상북도 안동시 일직면 조탑리,9,0,0,33,27,0,0,0,478,37,124
4717034027,경상북도 안동시 풍천면 금계리,0,0,0,8,6,0,0,0,572,36,127
4717034028,경상북도 안동시 풍천면 구호리,19,0,0,12,25,0,0,0,356,51,44
4717034029,경상북도 안동시 풍천면 어담리,0,0,0,8,55,0,0,0,1178,137,247
4717034031,경상북도 안동시 풍천면 가곡리,75,0,0,21,0,0,0,0,178,0,149
4717034033,경상북도 안동시 풍천면 하회리,56,0,18,95,53,0,0,0,202,0,147
4717035000,경상북도 안동시 일직면,615,0,5,341,589,0,0,0,5322,496,1203
4717035021,경상북도 안동시 일직면 귀미리,91,0,3,64,43,0,0,0,495,63,66
4717035023,경상북도 안동시 일직면 망호리,77,0,2,14,29,0,0,0,160,64,63
4723010100,경상북도 영천시 조교동,55,0,138,36,0,0,0,0,0,0,2
4723010300,경상북도 영천시 야사동,4,0,71,5,28,0,0,0,84,1,48
4723010500,경상북도 영천시 문외동,4,0,15,0,20,0,0,0,10,0,14
4721035032,경상북도 영주시 안정면 대평리,32,0,0,7,6,0,0,0,51,9,53
4721035033,경상북도 영주시 안정면 오계리,56,0,0,7,29,0,0,0,245,16,198
4777032042,경상북도 영덕군 남정면 사암리,0,0,0,3,0,0,0,0,839,130,5
4687037026,전라남도 영광군 법성면 입암리,0,0,0,22,0,0,0,52,218,59,8
4687037028,전라남도 영광군 법성면 월산리,28,0,0,10,158,0,0,0,26,11,107
4678033026,전라남도 보성군 겸백면 용산리,0,0,0,32,126,0,0,0,160,36,86
4688040030,전라남도 장성군 북하면 동현리,0,0,0,101,0,0,0,0,194,39,3
4688025036,전라남도 장성군 장성읍 용곡리,0,0,0,147,0,0,0,0,415,40,0
3171025600,울산광역시 울주군 온양읍,258,0,40,124,694,0,0,5,3671,629,1031
