stdg_Cd,bjd_Nm,crush_Stone_Area,etc_Area,except_Area,low_Moist_Area,none_Area,rock_Area,salt_Area,sand_Area,slope_Area,spaicd_Area,stone_Power_Area,unripe_Area,volcano_Area
4824036022,경상남도 사천시 곤명면 용산리,0,8,390,0,0,0,0,0,28,0,0,5,0
4824036023,경상남도 사천시 곤명면 조장리,0,11,181,0,21,0,0,45,23,0,2,6,0
4824036024,경상남도 사천시 곤명면 봉계리,0,14,289,0,21,0,0,37,61,0,0,12,0
4824036026,경상남도 사천시 곤명면 삼정리,0,2,243,0,0,0,0,0,116,0,0,10,0
4824036028,경상남도 사천시 곤명면 마곡리,0,6,512,3,0,0,0,5,98,0,0,6,0
4824036029,경상남도 사천시 곤명면 성방리,0,10,619,0,15,0,0,36,90,0,0,2,0
4825012000,경상남도 김해시 안동,0,9,95,12,60,0,0,0,19,9,14,12,0
4825010200,경상남도 김해시 서상동,0,0,2,0,0,0,0,0,0,0,26,0,0
4825010300,경상남도 김해시 부원동,0,10,11,0,39,0,0,0,16,116,5,2,0
4825010500,경상남도 김해시 대성동,0,2,20,0,0,0,0,0,23,0,0,11,0
4481025028,충청남도 예산군 예산읍 관작리,0,8,251,2,13,0,0,10,83,0,29,29,0
4481025029,충청남도 예산군 예산읍 창소리,0,7,1,4,12,0,0,67,14,0,45,92,0
4481025030,충청남도 예산군 예산읍 신례원리,0,0,166,0,0,0,0,31,33,0,77,51,0
4481025032,충청남도 예산군 예산읍 궁평리,0,7,0,5,38,0,0,116,4,0,2,23,0
4773046034,경상북도 의성군 안평면 창길리,0,12,773,0,19,0,0,14,88,0,6,30,0
4773046035,경상북도 의성군 안평면 괴산리,0,8,494,0,0,0,0,29,53,0,2,19,0
4723025037,경상북도 영천시 금호읍 원기리,0,4,11,0,14,0,0,10,42,0,0,10,0
4723025038,경상북도 영천시 금호읍 신대리,0,37,28,0,44,0,0,110,8,0,0,18,0
4723025039,경상북도 영천시 금호읍 남성리,0,15,225,0,0,0,0,17,100,0,0,0,0
4723025041,경상북도 영천시 금호읍 황정리,0,45,39,0,30,0,0,75,42,0,0,9,0
4723031021,경상북도 영천시 청통면 호당리,0,22,184,0,21,0,0,25,67,0,0,51,0
4723031022,경상북도 영천시 청통면 우천리,0,13,300,0,0,0,0,5,153,0,0,4,0
4723031024,경상북도 영천시 청통면 신덕리,0,8,363,0,0,0,0,0,117,0,0,7,0
4723025030,경상북도 영천시 금호읍 관정리,0,20,1,0,63,0,0,18,2,0,4,32,0
4723025031,경상북도 영천시 금호읍 구암리,0,38,278,0,55,0,0,0,107,0,1,6,0
4723025033,경상북도 영천시 금호읍 대곡리,0,8,190,0,0,0,0,0,69,0,0,18,0
4723025034,경상북도 영천시 금호읍 호남리,0,42,130,0,0,0,0,0,112,0,0,11,0
4723033033,경상북도 영천시 화산면 유성리,0,17,146,0,5,0,0,17,154,0,6,45,0
4825036000,경상남도 김해시 상동면,0,379,5652,4,29,0,0,84,301,0,131,293,0
4825034025,경상남도 김해시 한림면 용덕리,0,6,218,0,5,0,0,0,74,0,11,20,0
4825034026,경상남도 김해시 한림면 안곡리,0,5,429,0,0,0,0,0,45,0,24,13,0
4825034028,경상남도 김해시 한림면 장방리,0,81,228,0,201,0,0,0,65,0,0,140,0
4825034029,경상남도 김해시 한림면 시산리,0,267,63,0,282,0,0,70,2,0,0,66,0
4825032000,경상남도 김해시 주촌면,0,85,2009,45,160,0,0,34,450,65,93,186,0
4825032022,경상남도 김해시 주촌면 원지리,0,11,426,0,2,0,0,1,82,0,33,46,0
4825032023,경상남도 김해시 주촌면 덕암리,0,7,396,0,0,0,0,0,59,0,15,22,0
4423032032,충청남도 논산시 광석면 율리,0,0,21,0,31,0,0,81,56,0,0,60,0
4423032033,충청남도 논산시 광석면 오강리,0,0,0,18,31,0,0,56,17,0,0,51,0
4423033021,충청남도 논산시 노성면 읍내리,0,1,43,6,0,0,0,238,36,0,0,0,0
4423033022,충청남도 논산시 노성면 두사리,0,0,6,3,0,0,0,85,24,0,0,2,0
4423033023,충청남도 논산시 노성면 송당리,0,5,99,7,0,0,0,158,38,0,0,17,0
4423033025,충청남도 논산시 노성면 하도리,0,12,79,0,18,0,0,183,24,0,0,1,0
4721039030,경상북도 영주시 부석면 보계리,0,0,473,101,0,0,0,16,187,0,0,0,0
4723025036,경상북도 영천시 금호읍 오계리,0,11,72,0,8,0,0,11,84,0,0,39,0
4889041000,경상남도 합천군 대양면,0,177,4479,9,65,0,0,63,729,0,1,177,0
4889041021,경상남도 합천군 대양면 정양리,0,91,274,0,0,0,0,8,25,0,0,2,0
4889041022,경상남도 합천군 대양면 아천리,0,33,326,0,7,0,0,1,42,0,0,3,0
4889041024,경상남도 합천군 대양면 무곡리,0,13,580,0,7,0,0,4,94,0,0,42,0
4889041025,경상남도 합천군 대양면 덕정리,0,9,267,9,20,0,0,2,72,0,1,18,0
4825033025,경상남도 김해시 진례면 신안리,0,24,649,0,0,0,0,0,79,0,30,18,0
4825033026,경상남도 김해시 진례면 산본리,0,13,387,0,0,0,0,2,126,0,21,16,0
4825033027,경상남도 김해시 진례면 신월리,0,4,116,0,0,0,0,4,29,0,87,0,0
4825033029,경상남도 김해시 진례면 담안리,0,13,154,0,27,0,0,27,117,0,7,89,0
4825034000,경상남도 김해시 한림면,0,527,3108,0,818,0,0,99,684,0,91,597,0
4825034021,경상남도 김해시 한림면 명동리,0,11,289,0,2,0,0,0,117,0,0,29,0
4825034023,경상남도 김해시 한림면 병동리,0,11,344,0,25,0,0,8,97,0,9,38,0
4418039025,충청남도 보령시 미산면 늑전리,0,16,344,18,0,0,0,0,45,0,0,4,0
4418039026,충청남도 보령시 미산면 도흥리,0,0,851,0,0,0,0,0,28,0,0,39,0
4418039027,충청남도 보령시 미산면 봉성리,0,6,297,12,0,0,0,0,33,0,3,22,0
4418039029,충청남도 보령시 미산면 은현리,0,0,198,37,0,0,0,0,27,0,0,0,0
4418039030,충청남도 보령시 미산면 내평리,0,4,268,25,0,0,0,0,25,0,0,21,0
4423033026,충청남도 논산시 노성면 죽림리,0,0,38,14,9,0,0,41,123,0,0,51,0
4423032024,충청남도 논산시 광석면 갈산리,0,0,15,10,151,0,0,144,26,0,0,18,0
4423032025,충청남도 논산시 광석면 광리,0,0,0,0,98,0,0,35,0,0,0,2,0
4423032027,충청남도 논산시 광석면 산동리,0,0,0,3,172,0,0,69,0,0,0,0,0
4423032029,충청남도 논산시 광석면 왕전리,0,3,34,0,54,0,0,149,25,0,0,10,0
4423032030,충청남도 논산시 광석면 항월리,0,7,67,0,20,0,0,147,42,0,0,7,0
4717035030,경상북도 안동시 일직면 조탑리,0,33,548,0,0,0,0,17,57,0,15,38,0
4717034027,경상북도 안동시 풍천면 금계리,0,8,624,0,0,0,0,0,34,0,44,39,0
4717034028,경상북도 안동시 풍천면 구호리,0,12,429,0,0,0,0,6,29,0,0,31,0
4717034029,경상북도 안동시 풍천면 어담리,0,8,1369,0,0,0,0,0,166,0,22,61,0
4717034031,경상북도 안동시 풍천면 가곡리,0,21,118,6,4,0,0,16,156,0,0,102,0
4717034033,경상북도 안동시 풍천면 하회리,0,95,216,0,0,0,0,9,172,0,0,81,0
4717035000,경상북도 안동시 일직면,0,341,6376,12,82,0,0,489,807,0,133,332,0
4717035021,경상북도 안동시 일직면 귀미리,0,64,592,0,0,0,0,53,63,0,2,50,0
4717035023,경상북도 안동시 일직면 망호리,0,14,222,0,0,0,0,33,74,0,5,62,0
4723010100,경상북도 영천시 조교동,0,36,9,0,72,0,0,46,27,0,0,40,0
4723010300,경상북도 영천시 야사동,0,5,110,0,0,0,0,4,84,0,0,37,0
4723010500,경상북도 영천시 문외동,0,0,27,0,0,0,0,4,25,0,0,7,0
4721035032,경상북도 영주시 안정면 대평리,0,7,69,7,20,0,0,9,47,0,0,0,0
4721035033,경상북도 영주시 안정면 오계리,0,7,296,58,17,0,0,33,133,0,7,0,0
4777032042,경상북도 영덕군 남정면 사암리,0,3,923,0,0,0,0,0,42,0,0,9,0
4687037026,전라남도 영광군 법성면 입암리,0,22,234,5,15,0,37,0,47,0,0,0,0
4687037028,전라남도 영광군 법성면 월산리,0,10,71,21,19,0,0,9,200,0,0,10,0
4678033026,전라남도 보성군 겸백면 용산리,0,32,248,12,0,0,0,0,144,0,0,6,0
4688040030,전라남도 장성군 북하면 동현리,0,101,232,0,0,0,0,0,3,0,1,0,0
4688025036,전라남도 장성군 장성읍 용곡리,0,147,451,0,0,0,0,0,5,0,0,0,0
3171025600,울산광역시 울주군 온양읍,0,124,4842,12,154,0,0,32,1074,0,88,123,0
3171025621,울산광역시 울주군 온양읍 발리,0,8,455,4,30,0,0,4,157,0,1,24,0
3171025623,울산광역시 울주군 온양읍 망양리,0,18,298,0,0,0,0,12,93,0,3,32,0
3171025624,울산광역시 울주군 온양읍 남창리,0,16,69,1,30,0,0,1,7,0,0,3,0
4711131026,경상북도 포항시남구 대송면 송동리,0,8,104,2,17,0,4,9,83,0,0,1,0
4711131027,경상북도 포항시남구 대송면 제내리,0,19,0,2,36,0,12,26,0,0,0,0,0
4711131028,경상북도 포항시남구 대송면 옥명리,0,0,182,0,0,0,0,0,61,0,0,0,0
4711132000,경상북도 포항시남구 동해면,0,34,3263,3,33,0,0,19,808,0,69,158,0
4711132022,경상북도 포항시남구 동해면 약전리,0,0,54,1,15,0,0,3,25,0,0,18,0
4377033029,충청북도 음성군 맹동면 통동리,0,44,664,0,0,0,0,0,9,0,33,0,0
4377034000,충청북도 음성군 대소면,0,92,539,252,248,0,0,1855,544,0,3,281,0
4377033027,충청북도 음성군 맹동면 본성리,0,1,22,26,0,0,0,51,15,0,0,1,0
4161033000,경기도 광주시 도척면,0,99,3877,40,19,0,0,601,345,0,134,100,0
4161033022,경기도 광주시 도척면 유정리,0,17,315,0,19,0,0,65,49,0,12,29,0
4159025332,경기도 화성시 봉담읍 유리,0,27,95,4,0,0,0,8,31,0,6,8,0
4159025300,경기도 화성시 봉담읍,0,124,2170,156,19,0,0,651,924,0,61,175,0
4159025322,경기도 화성시 봉담읍 내리,0,3,330,14,6,0,0,76,93,0,6,17,0
4159025323,경기도 화성시 봉담읍 수영리,0,2,29,31,4,0,0,52,132,0,2,51,0
