stdg_Cd,bjd_Nm,bould_Exist_Area,cobbles_Exist_Area,etc_Area,gravels_Exist_Area,gravels_None_Area,pebble_Exist_Area,rock_Exist_Area,rock_Many_Area,stone_Exist_Area,stonebould_Exist_Area
4824036022,경상남도 사천시 곤명면 용산리,10,0,8,94,286,0,30,0,0,0
4824036023,경상남도 사천시 곤명면 조장리,0,0,11,163,109,0,6,0,0,0
4824036024,경상남도 사천시 곤명면 봉계리,0,4,14,221,183,0,15,0,0,0
4824036026,경상남도 사천시 곤명면 삼정리,0,4,2,56,283,0,23,0,0,0
4824036028,경상남도 사천시 곤명면 마곡리,0,5,6,522,97,0,1,0,0,0
4824036029,경상남도 사천시 곤명면 성방리,0,0,10,586,131,0,43,0,0,0
4825012000,경상남도 김해시 안동,3,2,9,44,130,0,35,7,0,0
4825010200,경상남도 김해시 서상동,0,0,0,28,0,0,0,0,0,0
4825010300,경상남도 김해시 부원동,0,0,10,11,178,0,0,0,0,0
4825010500,경상남도 김해시 대성동,0,2,2,26,20,0,4,0,0,0
4481025028,충청남도 예산군 예산읍 관작리,0,0,8,96,133,18,168,0,3,0
4481025029,충청남도 예산군 예산읍 창소리,0,0,7,44,190,0,0,0,0,0
4481025030,충청남도 예산군 예산읍 신례원리,0,0,0,152,119,14,67,0,4,0
4481025032,충청남도 예산군 예산읍 궁평리,0,0,7,2,185,0,0,0,0,0
4773046034,경상북도 의성군 안평면 창길리,0,0,12,662,148,1,118,0,0,0
4773046035,경상북도 의성군 안평면 괴산리,0,0,8,511,74,0,14,0,0,0
4723025037,경상북도 영천시 금호읍 원기리,0,0,4,14,74,0,0,0,0,0
4723025038,경상북도 영천시 금호읍 신대리,0,0,37,32,176,0,0,0,0,0
4723025039,경상북도 영천시 금호읍 남성리,0,0,15,261,73,0,8,0,0,0
4723025041,경상북도 영천시 금호읍 황정리,0,0,45,41,152,0,2,0,0,0
4723031021,경상북도 영천시 청통면 호당리,0,0,22,109,133,0,107,0,0,0
4723031022,경상북도 영천시 청통면 우천리,0,0,13,342,85,0,36,0,0,0
4723031024,경상북도 영천시 청통면 신덕리,0,0,8,322,70,0,94,0,0,0
4723025030,경상북도 영천시 금호읍 관정리,0,0,20,4,117,0,0,0,0,0
4723025031,경상북도 영천시 금호읍 구암리,0,0,38,241,125,0,81,0,0,0
4723025033,경상북도 영천시 금호읍 대곡리,0,0,8,142,67,0,70,0,0,0
4723025034,경상북도 영천시 금호읍 호남리,0,0,42,149,89,0,15,0,0,0
4723033033,경상북도 영천시 화산면 유성리,0,0,17,184,163,0,26,0,0,0
4825036000,경상남도 김해시 상동면,316,56,379,1556,1484,3,2815,249,12,0
4825034025,경상남도 김해시 한림면 용덕리,0,0,6,222,97,0,0,8,0,0
4825034026,경상남도 김해시 한림면 안곡리,0,0,5,221,69,0,198,24,0,0
4825034028,경상남도 김해시 한림면 장방리,0,0,81,245,340,0,48,0,0,0
4825034029,경상남도 김해시 한림면 시산리,0,0,267,19,464,0,0,0,0,0
4825032000,경상남도 김해시 주촌면,16,15,85,1330,1052,0,592,34,2,0
4825032022,경상남도 김해시 주촌면 원지리,0,7,11,278,125,0,146,34,0,0
4825032023,경상남도 김해시 주촌면 덕암리,0,2,7,306,98,0,86,0,0,0
4423032032,충청남도 논산시 광석면 율리,0,0,0,0,249,0,0,0,0,0
