stdg_Cd,bjd_Nm,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,0,0,0,3,0,0,1,0,0,6,2,2,3,3,2,10
4824036023,경상남도 사천시 곤명면 조장리,0,0,1,0,1,18,-,-,-,-,-,-,4,1,0,0,0,8,2,2,6,7,9,34
4824036024,경상남도 사천시 곤명면 봉계리,0,0,0,1,1,7,1,0,0,0,0,0,4,1,0,0,0,9,8,10,9,10,7,13
4824036026,경상남도 사천시 곤명면 삼정리,0,0,0,0,0,5,0,0,0,0,0,1,6,1,1,3,0,12,16,16,12,3,3,5
4824036028,경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,5,33,25,7,2,1,0
4824036029,경상남도 사천시 곤명면 성방리,0,1,0,0,1,3,0,4,0,0,0,0,7,0,0,0,1,11,15,27,7,2,0,0
4825012000,경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,0,1,8,19,12,3,0,1
4481025028,충청남도 예산군 예산읍 관작리,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,13,9,4,1,0,0,1
4481025029,충청남도 예산군 예산읍 창소리,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,1,0,33,2,3,3,0,2,4
4481025030,충청남도 예산군 예산읍 신례원리,0,0,0,0,0,28,0,0,0,2,0,3,0,0,0,0,0,23,19,6,4,1,2,0
4481025032,충청남도 예산군 예산읍 궁평리,0,0,0,0,0,2,-,-,-,-,-,-,0,0,0,0,0,5,34,27,8,2,2,2
4773046034,경상북도 의성군 안평면 창길리,0,0,0,0,0,6,1,0,1,0,1,35,0,1,1,1,1,8,0,0,0,0,0,1
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,5,1,1,2,2,47,0,0,0,0,0,5,0,0,0,0,0,1
4723025037,경상북도 영천시 금호읍 원기리,0,0,0,0,0,2,0,0,0,1,0,15,0,0,1,1,1,15,-,-,-,-,-,-
4723025038,경상북도 영천시 금호읍 신대리,0,0,0,0,0,8,0,3,1,1,4,55,0,0,0,1,0,61,0,0,0,0,0,1
4723025039,경상북도 영천시 금호읍 남성리,0,0,0,0,0,1,0,0,0,0,0,19,0,2,1,1,1,24,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,0,0,0,0,5,0,0,1,1,2,53,0,0,1,1,1,68,-,-,-,-,-,-
4723031021,경상북도 영천시 청통면 호당리,-,-,-,-,-,-,1,0,0,1,1,17,0,1,2,0,0,8,-,-,-,-,-,-
4723031022,경상북도 영천시 청통면 우천리,-,-,-,-,-,-,0,0,0,0,0,2,0,1,2,1,1,4,-,-,-,-,-,-
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-,0,0,0,0,0,5,0,0,1,1,0,3,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,0,1,0,0,11,1,1,1,3,1,29,10,8,8,12,5,31,0,0,0,0,0,1
4723025031,경상북도 영천시 금호읍 구암리,0,0,0,0,0,1,1,0,1,1,1,16,4,1,1,1,2,21,0,1,1,0,0,0
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-,0,1,0,0,0,9,4,7,5,3,3,17,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,0,0,0,0,1,1,0,2,0,2,1,14,5,4,5,0,0,0,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,0,0,0,0,2,1,1,2,1,2,25,0,0,0,2,2,35,1,3,1,0,0,1
4825036000,경상남도 김해시 상동면,0,1,49,2,2,22,12,9,5,2,0,12,47,24,9,7,13,130,45,32,28,19,10,17
4825034025,경상남도 김해시 한림면 용덕리,-,-,-,-,-,-,1,4,0,0,1,0,0,2,4,3,1,12,11,16,3,3,1,0
4825034026,경상남도 김해시 한림면 안곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,3,1,1,6,0,12,6,15,1,12
4825034028,경상남도 김해시 한림면 장방리,-,-,-,-,-,-,0,0,0,0,0,3,2,6,11,6,5,47,49,117,62,26,9,10
4825034029,경상남도 김해시 한림면 시산리,0,0,0,0,0,5,-,-,-,-,-,-,1,2,3,7,5,120,29,66,53,30,13,32
4825032000,경상남도 김해시 주촌면,1,0,0,0,1,16,6,4,8,1,0,38,7,3,13,11,24,122,17,55,27,10,7,9
4825032022,경상남도 김해시 주촌면 원지리,0,0,0,0,1,8,3,0,3,1,0,21,0,1,1,1,1,12,2,7,5,2,3,3
4825032023,경상남도 김해시 주촌면 덕암리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,1,1,0
4423032032,충청남도 논산시 광석면 율리,1,0,1,0,0,31,33,6,3,16,2,136,4,5,3,3,2,41,141,17,8,4,18,53
4423032033,충청남도 논산시 광석면 오강리,0,0,0,0,1,5,2,0,0,0,1,4,0,1,1,1,1,13,41,23,5,3,1,7
4423033021,충청남도 논산시 노성면 읍내리,1,0,0,1,1,9,0,0,0,0,7,20,0,5,3,4,6,19,8,4,6,12,4,1
4423033022,충청남도 논산시 노성면 두사리,-,-,-,-,-,-,-,-,-,-,-,-,9,1,5,2,2,7,2,4,1,0,0,0
4423033023,충청남도 논산시 노성면 송당리,0,0,0,0,0,5,0,0,0,0,0,2,0,4,3,2,2,20,10,2,1,1,0,9
4423033025,충청남도 논산시 노성면 하도리,0,8,9,7,6,35,0,0,0,0,0,2,0,3,5,2,3,12,20,27,22,14,6,6
4721039030,경상북도 영주시 부석면 보계리,1,3,0,0,0,2,6,9,15,13,14,72,12,7,14,9,11,79,5,16,17,9,1,1
4723025036,경상북도 영천시 금호읍 오계리,-,-,-,-,-,-,0,0,2,15,3,56,6,5,24,3,0,6,-,-,-,-,-,-
4889041000,경상남도 합천군 대양면,1,1,1,1,1,25,1,1,0,0,0,0,25,28,10,9,6,27,14,34,32,20,14,35
4889041021,경상남도 합천군 대양면 정양리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0
4889041022,경상남도 합천군 대양면 아천리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,0,0,1,2,2,1,1,2
4889041024,경상남도 합천군 대양면 무곡리,0,0,0,0,1,1,-,-,-,-,-,-,4,4,1,2,2,2,4,7,5,4,3,3
4889041025,경상남도 합천군 대양면 덕정리,0,0,1,0,0,1,-,-,-,-,-,-,6,2,3,1,1,4,2,4,2,2,1,5
4825033025,경상남도 김해시 진례면 신안리,0,0,0,1,0,2,-,-,-,-,-,-,0,0,0,0,2,7,5,21,8,10,10,19
4825033026,경상남도 김해시 진례면 산본리,-,-,-,-,-,-,0,1,0,0,7,27,0,1,0,0,1,21,7,9,14,10,12,21
4825033027,경상남도 김해시 진례면 신월리,0,0,0,0,0,9,-,-,-,-,-,-,0,0,0,0,1,2,41,49,40,15,16,15
4825033029,경상남도 김해시 진례면 담안리,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,5,37,79,47,34,17,8,10
4825034000,경상남도 김해시 한림면,0,1,0,0,0,19,5,6,2,0,1,36,23,38,40,53,39,371,343,507,302,137,62,124
4825034021,경상남도 김해시 한림면 명동리,-,-,-,-,-,-,-,-,-,-,-,-,1,3,2,8,4,7,12,21,11,2,2,1
4825034023,경상남도 김해시 한림면 병동리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,11,6,7,10,4,3,6
4418039025,충청남도 보령시 미산면 늑전리,-,-,-,-,-,-,0,0,0,0,2,0,0,0,5,3,0,15,0,2,8,1,0,0
4418039026,충청남도 보령시 미산면 도흥리,-,-,-,-,-,-,26,0,0,3,0,0,1,11,17,20,2,17,6,15,12,5,1,1
4418039027,충청남도 보령시 미산면 봉성리,-,-,-,-,-,-,15,0,0,0,1,0,1,6,21,4,1,19,0,1,4,3,2,1
4418039029,충청남도 보령시 미산면 은현리,-,-,-,-,-,-,18,0,0,0,2,0,0,6,6,6,0,13,1,7,9,3,1,1
4418039030,충청남도 보령시 미산면 내평리,-,-,-,-,-,-,-,-,-,-,-,-,13,0,1,2,1,11,0,2,4,5,2,1
4423033026,충청남도 논산시 노성면 죽림리,2,2,2,1,2,11,3,0,0,2,6,1,2,7,3,4,2,9,59,16,9,4,3,14
4423032024,충청남도 논산시 광석면 갈산리,3,0,0,0,0,3,0,0,0,0,0,5,2,4,3,2,1,17,155,54,15,17,1,5
4423032025,충청남도 논산시 광석면 광리,2,1,0,1,0,11,0,0,0,0,0,6,1,0,1,0,1,5,59,85,26,4,2,2
4423032027,충청남도 논산시 광석면 산동리,1,5,2,2,4,60,-,-,-,-,-,-,0,0,0,0,0,5,21,36,23,7,2,1
4423032029,충청남도 논산시 광석면 왕전리,2,4,6,4,4,83,-,-,-,-,-,-,0,0,1,3,1,15,46,14,5,8,2,22
4423032030,충청남도 논산시 광석면 항월리,1,1,1,3,2,63,0,0,2,0,0,1,1,2,1,1,1,12,42,5,2,1,3,2
4717035030,경상북도 안동시 일직면 조탑리,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,0,0,6,0,0,0,1,0,1
4717034027,경상북도 안동시 풍천면 금계리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,6,1,1,1,0,0
4717034028,경상북도 안동시 풍천면 구호리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,0
4717034029,경상북도 안동시 풍천면 어담리,0,0,0,0,0,1,0,0,0,0,0,8,164,0,0,1,1,10,8,1,0,0,0,1
4717034031,경상북도 안동시 풍천면 가곡리,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7,51,7,3,1,0,0
4717034033,경상북도 안동시 풍천면 하회리,1,0,0,0,0,0,-,-,-,-,-,-,0,0,1,1,2,8,75,11,71,90,1,2
4717035000,경상북도 안동시 일직면,0,0,0,0,0,35,2,2,1,0,1,50,11,4,3,8,5,146,15,9,8,9,8,29
4717035021,경상북도 안동시 일직면 귀미리,-,-,-,-,-,-,0,0,0,0,0,10,4,0,0,1,0,15,1,1,2,0,1,3
4717035023,경상북도 안동시 일직면 망호리,-,-,-,-,-,-,0,0,1,0,0,8,2,3,0,3,1,24,5,0,0,1,1,4
4723010100,경상북도 영천시 조교동,-,-,-,-,-,-,0,0,1,0,0,13,0,0,0,0,0,6,1,3,1,1,1,6
4723010300,경상북도 영천시 야사동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-
4721035032,경상북도 영주시 안정면 대평리,10,5,1,2,0,7,0,0,0,0,0,1,0,0,2,1,1,4,3,5,10,5,0,1
4721035033,경상북도 영주시 안정면 오계리,4,3,2,0,2,1,0,1,1,1,0,7,2,12,3,2,2,6,31,50,34,18,5,9
4777032042,경상북도 영덕군 남정면 사암리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,4,0,0,0,1,1,2
4687037026,전라남도 영광군 법성면 입암리,-,-,-,-,-,-,0,2,0,0,0,1,1,2,1,1,4,48,10,52,3,1,0,0
4687037028,전라남도 영광군 법성면 월산리,0,0,0,0,0,1,4,0,0,1,0,0,12,9,13,5,3,102,122,89,28,6,2,1
4678033026,전라남도 보성군 겸백면 용산리,-,-,-,-,-,-,11,0,0,0,0,1,3,5,8,1,4,57,24,23,13,2,0,1
4688025036,전라남도 장성군 장성읍 용곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3171025600,울산광역시 울주군 온양읍,-,-,-,-,-,-,21,3,3,3,3,65,10,3,11,12,4,84,221,97,37,7,5,8
3171025621,울산광역시 울주군 온양읍 발리,-,-,-,-,-,-,16,2,2,1,2,37,1,0,4,3,2,12,28,12,3,0,0,1
3171025623,울산광역시 울주군 온양읍 망양리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,2,3,3,1,1,1
3171025624,울산광역시 울주군 온양읍 남창리,-,-,-,-,-,-,0,0,0,0,0,5,0,0,1,1,0,2,17,14,12,1,0,0
4711131026,경상북도 포항시남구 대송면 송동리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,0,0,0,0
4711131027,경상북도 포항시남구 대송면 제내리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,1,0,0,0
4711132000,경상북도 포항시남구 동해면,0,0,0,0,0,4,-,-,-,-,-,-,2,2,1,0,4,16,32,11,3,1,1,1
4711132022,경상북도 포항시남구 동해면 약전리,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,6,1,0,0,0,0
4377033029,충청북도 음성군 맹동면 통동리,0,0,0,0,1,0,-,-,-,-,-,-,0,0,2,1,1,16,0,0,1,0,0,0
4377034000,충청북도 음성군 대소면,7,19,13,14,9,104,4,6,3,3,2,88,54,60,52,49,74,611,306,447,192,22,1,13
4377033027,충청북도 음성군 맹동면 본성리,1,0,0,2,0,1,-,-,-,-,-,-,1,1,1,2,2,13,3,7,4,0,0,0
4161033000,경기도 광주시 도척면,7,10,7,4,3,23,1,1,0,0,1,7,11,6,7,5,5,98,251,387,256,169,101,106
4161033022,경기도 광주시 도척면 유정리,1,1,2,1,1,2,0,0,0,0,0,1,2,1,1,1,0,16,73,131,90,50,37,54
4159025332,경기도 화성시 봉담읍 유리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,0,1,0,0,0,0,0
4159025300,경기도 화성시 봉담읍,1,1,1,1,0,3,1,0,0,1,2,10,82,10,27,25,39,107,50,40,21,6,2,3
4159025322,경기도 화성시 봉담읍 내리,0,0,0,0,0,1,-,-,-,-,-,-,8,0,0,0,0,7,1,3,1,1,0,0
4159025323,경기도 화성시 봉담읍 수영리,-,-,-,-,-,-,0,0,0,0,2,7,5,0,0,0,0,1,1,6,1,1,0,0
4159025325,경기도 화성시 봉담읍 와우리,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,0,0,0,-,-,-,-,-,-
4159025326,경기도 화성시 봉담읍 수기리,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,0,0,1,-,-,-,-,-,-
4159025328,경기도 화성시 봉담읍 왕림리,0,1,0,0,0,0,-,-,-,-,-,-,4,8,1,0,1,3,1,1,1,0,0,0
4159025329,경기도 화성시 봉담읍 세곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,0,1,0
4691033024,전라남도 신안군 자은면 유천리,-,-,-,-,-,-,-,-,-,-,-,-,1,10,5,4,2,83,21,14,2,0,0,0
4691033025,전라남도 신안군 자은면 유각리,-,-,-,-,-,-,-,-,-,-,-,-,28,56,9,2,5,119,24,20,5,2,0,0
4691033026,전라남도 신안군 자은면 면전리,-,-,-,-,-,-,-,-,-,-,-,-,4,11,4,1,1,32,17,16,6,1,1,1
4691033028,전라남도 신안군 자은면 고장리,-,-,-,-,-,-,-,-,-,-,-,-,4,20,19,3,4,93,30,52,13,1,0,0
4691033029,전라남도 신안군 자은면 구영리,-,-,-,-,-,-,-,-,-,-,-,-,4,10,8,5,6,93,27,35,5,4,2,0
4691034021,전라남도 신안군 비금면 광대리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,63,2,6,3,1,1,0
4691034024,전라남도 신안군 비금면 가산리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,30,4,3,2,0,0,0
4691034025,전라남도 신안군 비금면 덕산리,-,-,-,-,-,-,-,-,-,-,-,-,4,2,3,2,5,22,5,12,11,3,1,4
4691034027,전라남도 신안군 비금면 구림리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,3,3,35,6,5,3,0,1,2
4691034028,전라남도 신안군 비금면 신원리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,4,8,5,41,3,7,4,3,2,11
2644010500,부산광역시 강서구 죽림동,0,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,20,45,46,21,7,13
2644010600,부산광역시 강서구 식만동,0,1,0,1,1,26,-,-,-,-,-,-,0,0,0,0,0,1,19,29,23,13,8,6
