stdg_Cd,bjd_Nm,posifertmg_Fachs1_Area,posifertmg_Fachs2_Area,posifertmg_Fachs3_Area,posifertmg_Fachs4_Area,posifertmg_Fachs5_Area,posifertmg_Fachs6_Area,posifertmg_Fruit1_Area,posifertmg_Fruit2_Area,posifertmg_Fruit3_Area,posifertmg_Fruit4_Area,posifertmg_Fruit5_Area,posifertmg_Fruit6_Area,posifertmg_Pfld1_Area,posifertmg_Pfld2_Area,posifertmg_Pfld3_Area,posifertmg_Pfld4_Area,posifertmg_Pfld5_Area,posifertmg_Pfld6_Area,posifertmg_Rfld1_Area,posifertmg_Rfld2_Area,posifertmg_Rfld3_Area,posifertmg_Rfld4_Area,posifertmg_Rfld5_Area,posifertmg_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,1,0,2,1,1,2,0,0,2,3,1,10,4,1,0,6
4824036023,경상남도 사천시 곤명면 조장리,1,2,1,2,3,10,-,-,-,-,-,-,0,2,4,1,2,4,28,25,3,1,1,0
4824036024,경상남도 사천시 곤명면 봉계리,0,1,2,1,1,3,0,0,1,0,0,0,2,1,2,2,2,6,9,32,11,4,0,1
4824036026,경상남도 사천시 곤명면 삼정리,0,0,1,0,1,3,0,0,0,1,0,0,5,6,4,2,3,3,8,31,13,1,1,1
4824036028,경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,1,0,1,11,37,13,3,3,0
4824036029,경상남도 사천시 곤명면 성방리,0,0,0,1,2,2,4,0,0,0,0,0,8,5,5,1,0,1,8,24,15,5,1,0
4825012000,경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,0,0,1,14,14,14
4481025028,충청남도 예산군 예산읍 관작리,0,0,1,1,1,4,0,0,1,1,0,0,0,1,2,4,3,4,0,3,4,2,1,6
4481025029,충청남도 예산군 예산읍 창소리,0,3,4,7,5,14,0,1,1,0,0,0,1,6,2,7,5,14,1,2,1,2,0,8
4481025030,충청남도 예산군 예산읍 신례원리,0,2,2,5,3,16,0,2,2,0,2,0,0,3,3,5,5,8,1,7,4,7,4,10
4481025032,충청남도 예산군 예산읍 궁평리,0,0,0,0,0,1,-,-,-,-,-,-,1,1,1,1,0,1,1,8,13,10,9,33
4773046034,경상북도 의성군 안평면 창길리,0,0,0,1,0,5,2,3,8,8,6,10,0,0,4,3,2,3,0,0,0,1,0,0
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,3,8,20,10,7,10,0,1,2,1,1,1,-,-,-,-,-,-
4723025037,경상북도 영천시 금호읍 원기리,0,0,0,0,0,2,0,0,1,2,7,6,0,1,2,5,6,3,-,-,-,-,-,-
4723025038,경상북도 영천시 금호읍 신대리,0,0,1,2,4,1,0,3,15,15,17,13,1,6,16,18,10,12,0,0,0,0,0,1
4723025039,경상북도 영천시 금호읍 남성리,-,-,-,-,-,-,0,1,3,3,9,4,0,0,1,4,8,15,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,0,2,3,1,0,1,3,19,16,8,11,0,4,23,41,2,0,-,-,-,-,-,-
4723031021,경상북도 영천시 청통면 호당리,0,0,0,0,0,1,0,0,1,4,5,10,0,1,3,2,2,4,-,-,-,-,-,-
4723031022,경상북도 영천시 청통면 우천리,-,-,-,-,-,-,0,0,0,0,0,2,0,0,1,2,1,6,-,-,-,-,-,-
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-,0,0,1,2,1,1,0,0,2,1,1,2,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,2,2,3,2,4,0,2,5,8,9,11,1,2,20,17,14,19,0,0,0,1,0,0
4723025031,경상북도 영천시 금호읍 구암리,0,0,0,0,1,0,0,1,2,2,4,12,0,0,3,10,13,5,0,0,0,0,0,1
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-,0,0,0,6,1,3,0,4,8,8,8,10,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,0,0,0,0,1,0,2,1,4,4,4,5,0,2,4,3,3,2,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,0,0,0,0,2,0,1,2,5,6,16,0,1,1,3,14,21,0,0,0,2,2,2
4825036000,경상남도 김해시 상동면,1,4,57,6,4,4,15,10,9,2,2,1,17,74,67,47,16,12,11,55,33,24,13,15
4825034025,경상남도 김해시 한림면 용덕리,-,-,-,-,-,-,0,0,0,0,0,5,0,3,11,2,4,2,0,3,8,13,8,3
4825034026,경상남도 김해시 한림면 안곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,2,6,3,0,0,1,34,9,1,0,1
4825034028,경상남도 김해시 한림면 장방리,-,-,-,-,-,-,1,1,0,0,0,1,0,6,30,16,15,11,1,4,24,121,94,30
4825034029,경상남도 김해시 한림면 시산리,0,0,0,1,2,3,-,-,-,-,-,-,0,0,7,52,55,25,0,6,36,98,55,27
4825032000,경상남도 김해시 주촌면,1,0,1,1,3,12,8,21,3,14,7,4,11,15,64,53,24,12,4,25,19,24,12,42
4825032022,경상남도 김해시 주촌면 원지리,0,0,1,1,1,6,0,9,2,10,5,3,0,0,5,4,4,3,1,7,8,4,1,2
4825032023,경상남도 김해시 주촌면 덕암리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,3,2,1,1,0
4423032032,충청남도 논산시 광석면 율리,1,1,1,3,5,23,30,12,29,33,39,55,3,5,8,16,10,16,117,17,26,21,35,23
4423032033,충청남도 논산시 광석면 오강리,0,0,1,1,1,4,1,1,1,2,1,1,1,4,4,4,2,2,34,11,17,9,0,7
4423033021,충청남도 논산시 노성면 읍내리,1,0,1,1,3,5,7,0,1,8,2,9,8,11,9,4,4,1,14,18,4,1,0,0
4423033022,충청남도 논산시 노성면 두사리,-,-,-,-,-,-,-,-,-,-,-,-,16,8,1,1,0,1,3,3,1,0,0,0
4423033023,충청남도 논산시 노성면 송당리,1,0,0,0,0,4,0,0,0,0,0,2,15,6,6,1,1,2,11,12,1,0,0,0
4423033025,충청남도 논산시 노성면 하도리,2,6,10,12,11,25,0,1,0,1,0,0,9,8,2,3,1,3,37,36,16,3,1,2
4721039030,경상북도 영주시 부석면 보계리,1,3,1,0,0,0,22,31,42,17,8,10,22,48,47,11,3,2,7,19,19,3,0,0
4723025036,경상북도 영천시 금호읍 오계리,-,-,-,-,-,-,1,1,6,11,33,25,3,9,12,10,6,3,-,-,-,-,-,-
4889041000,경상남도 합천군 대양면,1,2,4,5,4,13,0,0,1,0,0,0,11,14,17,26,13,24,19,46,44,26,10,5
4889041021,경상남도 합천군 대양면 정양리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,0
4889041022,경상남도 합천군 대양면 아천리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,2,2,2,4,0,0,0
4889041024,경상남도 합천군 대양면 무곡리,0,0,0,1,0,1,-,-,-,-,-,-,2,4,3,3,1,1,5,8,6,6,2,1
4889041025,경상남도 합천군 대양면 덕정리,0,0,0,0,0,1,-,-,-,-,-,-,5,2,1,3,3,2,4,4,4,2,2,1
4825033025,경상남도 김해시 진례면 신안리,0,0,0,0,0,3,-,-,-,-,-,-,0,0,1,8,0,0,5,47,16,2,2,1
4825033026,경상남도 김해시 진례면 산본리,-,-,-,-,-,-,14,14,6,0,0,0,0,6,1,3,10,3,22,44,5,1,0,1
4825033027,경상남도 김해시 진례면 신월리,0,0,0,0,0,9,-,-,-,-,-,-,0,0,0,1,0,0,4,62,88,18,2,1
4825033029,경상남도 김해시 진례면 담안리,0,1,2,1,1,0,0,0,1,0,0,0,1,4,6,24,8,1,65,84,30,10,3,4
4825034000,경상남도 김해시 한림면,0,0,1,3,7,10,10,11,8,1,0,21,11,29,113,178,152,81,8,87,166,500,454,259
4825034021,경상남도 김해시 한림면 명동리,-,-,-,-,-,-,-,-,-,-,-,-,0,4,11,6,2,1,0,1,10,11,11,17
4825034023,경상남도 김해시 한림면 병동리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,7,3,0,2,8,15,7,2
4418039025,충청남도 보령시 미산면 늑전리,-,-,-,-,-,-,2,0,0,0,0,0,8,5,8,0,1,1,0,4,4,2,0,1
4418039026,충청남도 보령시 미산면 도흥리,-,-,-,-,-,-,26,2,0,0,0,0,26,18,19,3,0,2,12,20,6,1,1,0
4418039027,충청남도 보령시 미산면 봉성리,-,-,-,-,-,-,16,0,0,0,0,0,20,10,17,4,1,0,1,5,4,0,0,1
4418039029,충청남도 보령시 미산면 은현리,-,-,-,-,-,-,20,0,0,0,0,0,8,5,11,6,1,0,3,10,6,2,0,0
4418039030,충청남도 보령시 미산면 내평리,-,-,-,-,-,-,-,-,-,-,-,-,13,7,2,0,1,5,1,6,3,2,1,0
4423033026,충청남도 논산시 노성면 죽림리,0,0,1,2,2,14,1,0,7,0,0,3,13,1,2,3,4,4,26,14,21,15,7,21
4423032024,충청남도 논산시 광석면 갈산리,2,0,1,0,1,3,0,0,0,0,0,5,3,6,6,8,3,3,97,35,22,43,21,30
4423032025,충청남도 논산시 광석면 광리,2,0,0,1,0,12,0,1,2,0,2,0,0,3,2,1,0,1,33,5,71,53,10,4
4423032027,충청남도 논산시 광석면 산동리,0,0,2,7,7,59,-,-,-,-,-,-,0,0,1,0,1,3,14,8,45,20,2,2
4423032029,충청남도 논산시 광석면 왕전리,0,2,4,7,13,76,-,-,-,-,-,-,1,2,3,4,5,8,43,12,13,12,9,8
4423032030,충청남도 논산시 광석면 항월리,1,3,4,8,10,46,0,0,2,0,1,1,1,3,4,3,3,4,44,6,4,1,1,0
4717035030,경상북도 안동시 일직면 조탑리,0,0,0,0,0,1,-,-,-,-,-,-,1,3,1,0,1,0,0,1,1,1,0,0
4717034027,경상북도 안동시 풍천면 금계리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,0,1,4,2,0,1
4717034028,경상북도 안동시 풍천면 구호리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,1
4717034029,경상북도 안동시 풍천면 어담리,0,0,0,0,0,1,0,0,0,8,0,0,134,8,3,3,29,1,0,4,3,1,0,1
4717034031,경상북도 안동시 풍천면 가곡리,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,1,0,7,0,0,6,15,16,24
4717034033,경상북도 안동시 풍천면 하회리,0,0,0,0,1,0,-,-,-,-,-,-,0,1,3,5,1,2,1,11,33,111,83,12
4717035000,경상북도 안동시 일직면,1,1,8,3,5,19,0,6,12,20,8,9,8,46,50,26,29,19,0,17,28,22,6,3
4717035021,경상북도 안동시 일직면 귀미리,-,-,-,-,-,-,0,0,3,4,2,1,0,6,4,4,4,2,0,1,4,3,0,0
4717035023,경상북도 안동시 일직면 망호리,-,-,-,-,-,-,0,0,2,4,2,1,1,7,11,5,5,5,0,1,4,3,0,2
4723010100,경상북도 영천시 조교동,-,-,-,-,-,-,0,0,4,4,2,4,0,2,2,2,0,0,0,0,2,4,3,6
4723010300,경상북도 영천시 야사동,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,-,-,-,-,-,-
4721035032,경상북도 영주시 안정면 대평리,12,10,3,0,0,0,0,0,1,1,0,0,0,1,3,3,0,1,2,9,11,1,0,1
4721035033,경상북도 영주시 안정면 오계리,0,1,3,2,2,3,4,1,2,0,0,3,1,15,6,2,2,1,2,71,59,7,4,3
4777032042,경상북도 영덕군 남정면 사암리,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,1,1,0,0,1,2,0,0
4687037026,전라남도 영광군 법성면 입암리,-,-,-,-,-,-,0,0,1,0,2,1,0,1,49,4,0,3,1,1,3,4,2,49
4687037028,전라남도 영광군 법성면 월산리,0,0,0,0,0,1,3,1,1,0,0,0,4,12,98,15,10,5,4,58,104,51,13,9
4678033026,전라남도 보성군 겸백면 용산리,-,-,-,-,-,-,9,2,0,1,0,0,9,32,10,15,8,5,14,36,12,2,0,0
4688025036,전라남도 장성군 장성읍 용곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3171025600,울산광역시 울주군 온양읍,-,-,-,-,-,-,20,12,20,14,13,19,29,22,26,15,7,24,23,67,90,122,58,16
3171025621,울산광역시 울주군 온양읍 발리,-,-,-,-,-,-,16,5,10,8,8,12,1,2,7,4,2,6,0,9,5,24,6,0
3171025623,울산광역시 울주군 온양읍 망양리,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,1,3,5,1,1,0
3171025624,울산광역시 울주군 온양읍 남창리,-,-,-,-,-,-,0,0,5,0,0,0,0,1,2,0,0,0,12,6,13,8,3,1
4711131026,경상북도 포항시남구 대송면 송동리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,1,2,5
4711131027,경상북도 포항시남구 대송면 제내리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2,8
4711132000,경상북도 포항시남구 동해면,0,1,0,1,1,1,-,-,-,-,-,-,0,1,1,5,3,15,1,0,1,2,5,39
4711132022,경상북도 포항시남구 동해면 약전리,0,1,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,7
4377033029,충청북도 음성군 맹동면 통동리,0,0,0,0,0,1,-,-,-,-,-,-,0,6,8,4,0,2,0,1,0,0,0,0
4377034000,충청북도 음성군 대소면,1,9,13,15,20,109,7,26,25,18,10,20,95,187,183,100,94,237,53,288,269,121,63,171
4377033027,충청북도 음성군 맹동면 본성리,0,0,0,2,0,1,-,-,-,-,-,-,3,7,5,2,2,1,1,4,6,1,1,0
4161033000,경기도 광주시 도척면,13,17,3,3,2,16,3,4,2,1,1,1,16,26,25,24,10,31,270,645,265,62,13,15
