stdg_Cd,bjd_Nm,acid_Fachs1_Area,acid_Fachs2_Area,acid_Fachs3_Area,acid_Fachs4_Area,acid_Fachs5_Area,acid_Fachs6_Area,acid_Fruit1_Area,acid_Fruit2_Area,acid_Fruit3_Area,acid_Fruit4_Area,acid_Fruit5_Area,acid_Fruit6_Area,acid_Pfld1_Area,acid_Pfld2_Area,acid_Pfld3_Area,acid_Pfld4_Area,acid_Pfld5_Area,acid_Pfld6_Area,acid_Rfld1_Area,acid_Rfld2_Area,acid_Rfld3_Area,acid_Rfld4_Area,acid_Rfld5_Area,acid_Rfld6_Area
4824036022,경상남도 사천시 곤명면 용산리,-,-,-,-,-,-,0,0,0,0,1,2,2,0,0,0,2,3,0,0,2,6,4,7
4824036023,경상남도 사천시 곤명면 조장리,0,0,0,1,4,14,-,-,-,-,-,-,3,5,3,0,0,0,1,9,12,17,11,5
4824036024,경상남도 사천시 곤명면 봉계리,0,0,0,1,2,4,0,0,0,0,0,1,0,0,3,4,1,5,0,1,9,18,23,3
4824036026,경상남도 사천시 곤명면 삼정리,0,0,0,0,1,4,0,0,0,0,0,1,0,0,4,10,5,2,0,0,10,25,12,2
4824036028,경상남도 사천시 곤명면 마곡리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,2,0,0,0,12,25,23,3
4824036029,경상남도 사천시 곤명면 성방리,0,0,0,0,2,2,-,-,-,-,-,-,5,5,6,0,0,1,0,0,4,18,21,6
4825012000,경상남도 김해시 안동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010200,경상남도 김해시 서상동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4825010300,경상남도 김해시 부원동,0,0,0,0,0,1,-,-,-,-,-,-,0,0,0,1,0,0,0,1,10,11,6,9
4481025028,충청남도 예산군 예산읍 관작리,0,0,1,2,1,1,2,0,0,0,0,1,1,0,2,3,3,3,0,0,6,5,3,0
4481025029,충청남도 예산군 예산읍 창소리,1,2,3,6,7,14,0,0,1,1,0,0,1,3,3,6,9,10,0,0,4,2,4,2
4481025030,충청남도 예산군 예산읍 신례원리,0,1,5,5,11,5,0,0,0,0,0,5,2,2,3,5,8,4,0,0,10,11,7,1
4481025032,충청남도 예산군 예산읍 궁평리,0,0,0,0,0,1,-,-,-,-,-,-,1,1,1,1,1,0,0,2,35,18,8,5
4773046034,경상북도 의성군 안평면 창길리,0,0,0,0,1,6,0,5,3,5,5,16,0,1,1,2,4,5,0,0,0,0,0,1
4773046035,경상북도 의성군 안평면 괴산리,-,-,-,-,-,-,0,9,6,14,10,14,0,0,1,1,2,2,0,0,0,0,0,1
4723025037,경상북도 영천시 금호읍 원기리,0,0,0,0,0,2,6,1,2,2,1,3,2,2,2,7,4,4,-,-,-,-,-,-
4723025038,경상북도 영천시 금호읍 신대리,0,0,1,2,1,4,7,8,7,10,10,16,8,8,6,13,12,15,-,-,-,-,-,-
4723025039,경상북도 영천시 금호읍 남성리,-,-,-,-,-,-,4,6,1,0,2,5,4,4,6,14,5,1,-,-,-,-,-,-
4723025041,경상북도 영천시 금호읍 황정리,0,0,0,1,2,2,3,6,5,7,12,21,10,9,6,23,14,6,0,0,0,0,1,0
4723031021,경상북도 영천시 청통면 호당리,-,-,-,-,-,-,1,1,2,3,5,7,1,2,1,2,3,3,-,-,-,-,-,-
4723031022,경상북도 영천시 청통면 우천리,-,-,-,-,-,-,0,0,0,0,1,1,1,3,2,1,1,1,-,-,-,-,-,-
4723031024,경상북도 영천시 청통면 신덕리,-,-,-,-,-,-,0,0,1,1,1,2,1,2,1,0,0,0,-,-,-,-,-,-
4723025030,경상북도 영천시 금호읍 관정리,0,1,1,2,2,6,5,3,1,3,10,12,13,19,9,17,19,6,0,0,0,0,0,1
4723025031,경상북도 영천시 금호읍 구암리,0,0,0,0,1,0,1,0,2,4,2,10,2,2,0,12,6,11,0,0,0,0,1,0
4723025033,경상북도 영천시 금호읍 대곡리,-,-,-,-,-,-,4,2,1,1,1,2,6,11,8,5,7,2,-,-,-,-,-,-
4723025034,경상북도 영천시 금호읍 호남리,0,0,0,0,0,1,2,2,4,3,4,4,4,3,1,2,3,2,-,-,-,-,-,-
4723033033,경상북도 영천시 화산면 유성리,0,0,0,0,0,2,1,1,6,3,7,12,0,2,8,19,22,4,0,0,0,1,1,3
4825036000,경상남도 김해시 상동면,1,1,3,50,4,16,0,8,10,14,3,3,27,79,25,40,17,33,1,2,26,35,34,43
4825034025,경상남도 김해시 한림면 용덕리,-,-,-,-,-,-,0,1,3,0,0,0,1,5,9,2,2,0,0,0,6,8,9,6
